# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.5509252055182 113.49770353920236 13.0 20.5 20.5 3.5 6.0 9.0 512116.2766110711 511435.6110296623 1023551.8876407334
10.0 10.0 300.0 1.0 206.0129077457011 0.555926309695 114.5279955526041 10.6762099924 20.5 20.5 3.5 6.0 9.0 474995.12599241827 581277.4181756182 1056272.5441680364
10.0 10.0 300.0 1.0 206.0129077457011 0.555926309695 114.5279955526041 13.0 28.6332650266 28.6332650266 3.5 6.0 9.0 642858.5611867885 554855.5968056415 1197714.15799243
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 20.5 20.5 3.5 2.127016654 9.0 438842.46798625006 587165.0828750002 1026007.5508612503
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 20.5 20.5 3.5 6.0 5.9016133232 475175.5986126162 546888.354229175 1022063.9528417912
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 20.5 20.5 3.5 6.0 9.0 575862.3468492391 588278.642228603 1164140.989077842
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 20.5 20.5 3.5 6.0 12.0983866768 449218.6667369041 565711.9529937352 1014930.6197306393
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 20.5 20.5 3.5 9.872983346 9.0 479137.8333440113 543877.9587075864 1023015.7920515977
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 20.5 20.5 5.0491933384 6.0 9.0 477695.7703930932 545557.3296224396 1023253.1000155327
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 28.6332650266 28.6332650266 3.5 6.0 9.0 582316.4932552327 610310.7107919292 1192627.2040471619
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.33462230136 20.5 20.5 3.5 6.0 9.0 451166.3514732846 563845.1927449193 1015011.544218204
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 10.41484167865 10.41484167865 3.5 6.0 9.0 319909.43085507327 500655.6803700486 820565.1112251219
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 1.9508066616 6.0 9.0 397787.3211429531 560605.1604392268 958392.4815821799
10.0 10.0 300.0 1.0 206.0129077457011 0.555926309695 114.5279955526041 15.3237900076 20.5 20.5 3.5 6.0 9.0 488718.2509248801 522383.48795524397 1011101.7388801241
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 3.5 2.127016654 9.0 348939.161292837 506000.1541262064 854939.3154190434
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 3.5 6.0 5.9016133232 347736.7163712068 507328.510829216 855065.2272004228
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 3.5 6.0 9.0 399012.108227469 563540.9821987145 962553.0904261835
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 3.5 6.0 12.0983866768 323478.2447375193 530164.8617412202 853643.1064787395
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 3.5 9.872983346 9.0 398297.98049901205 560741.8080011929 959039.7885002049
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 12.3667349734 12.3667349734 5.0491933384 6.0 9.0 348018.7867254497 507146.19754134363 855164.9842667934
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 15.9404406313 15.9404406313 3.5 6.0 9.0 511181.5471993859 557361.6223730643 1068543.1695724502
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 1.5790174626 6.0 9.0 452633.5213462193 558310.5290371012 1010944.0503833205
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 1.9508066616 2.127016654 9.0 453320.9799919469 558606.5352241613 1011927.5152161082
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 1.9508066616 6.0 5.9016133232 489106.43096746627 600345.8306433114 1089452.2616107776
10.0 10.0 300.0 1.0 206.0129077457011 0.566731115068 116.7539249251222 13.0 20.5 20.5 3.5 6.0 9.0 512116.2766110711 511435.6110296623 1023551.8876407334
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 1.9508066616 6.0 9.0 570978.9472348557 534479.0812229228 1105458.0284577785
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 1.9508066616 6.0 12.0983866768 439051.68162738346 574261.6984076666 1013313.3800350501
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 1.9508066616 9.872983346 9.0 457701.9920685724 596040.513674106 1053742.5057426784
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 2.6315125012 6.0 9.0 459683.2664764312 580098.2677191161 1039781.5341955472
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 1.1975436565 9.0 495437.1154059131 557068.8527770372 1052505.9681829503
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 2.127016654 5.9016133232 455365.5467585611 563878.2875210324 1019243.8342795935
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 2.127016654 9.0 467134.16209990473 560324.144632936 1027458.3067328407
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 2.127016654 12.0983866768 455865.53999176674 561222.7417455188 1017088.2817372854
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 3.828781253 9.0 444002.9233820018 572294.0462107711 1016296.9695927729
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 20.5 20.5 3.5 6.0 5.1580349252 461687.6491565209 554203.8565431759 1015891.5056996967
