# IP RP SP set_id D HHub_Ratio HHub HTrans PileDepth WaterDepth WaveHeight WavePeriod WindSpeed monopile_mass tower_mass total_mass
10.0 10.0 300.0 1.0 206.0129077457011 0.555926309695 114.5279955526041 13.0 56.7316517034 56.7316517034 3.5 6.0 9.0 1463278.0020646998 760058.9683877067 2223336.9704524064
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 45.5 45.5 3.5 2.127016654 9.0 1092232.2960637745 643559.4011821277 1735791.6972459021
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 45.5 45.5 3.5 6.0 5.9016133232 1018597.6678344914 655533.3475051172 1674131.0153396085
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 45.5 45.5 3.5 6.0 9.0 1275916.0413093301 587505.6850280871 1863421.7263374173
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 45.5 45.5 3.5 6.0 12.0983866768 1186170.7848953973 596668.7695000363 1782839.5543954335
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 45.5 45.5 3.5 9.872983346 9.0 1143644.0974807485 623021.1824542538 1766665.2799350023
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 45.5 45.5 5.0491933384 6.0 9.0 1148015.9092423255 590602.9675088369 1738618.8767511623
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.1185261939 56.7316517034 56.7316517034 3.5 6.0 9.0 1363414.608228008 691274.672527631 2054689.280755639
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.33462230136 45.5 45.5 3.5 6.0 9.0 996831.4361723037 653981.7793333016 1650813.2155056053
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 31.57287660385 31.57287660385 3.5 6.0 9.0 697131.6738076055 577595.2300528 1274726.9038604056
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 34.2683482966 34.2683482966 1.9508066616 6.0 9.0 835048.7199448682 582908.6754818284 1417957.3954266966
10.0 10.0 300.0 1.0 206.0129077457011 0.555926309695 114.5279955526041 15.3237900076 45.5 45.5 3.5 6.0 9.0 1289887.7549062031 608270.4036605023 1898158.1585667054
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 34.2683482966 34.2683482966 3.5 2.127016654 9.0 749415.6962541884 605509.8312587794 1354925.5275129678
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 34.2683482966 34.2683482966 3.5 6.0 5.9016133232 709452.2564832444 621203.5826810227 1330655.839164267
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 34.2683482966 34.2683482966 3.5 6.0 9.0 715202.3801007185 706733.9289272809 1421936.3090279994
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 34.2683482966 34.2683482966 5.0491933384 6.0 9.0 762904.3063485295 595834.5776830913 1358738.8840316208
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 39.2034656337 39.2034656337 3.5 6.0 9.0 830651.3372806854 632159.8168164449 1462811.1540971303
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 1.5790174626 6.0 9.0 1307019.6924130074 600032.4753683684 1907052.1677813758
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 1.9508066616 2.127016654 9.0 1122882.3398384515 579865.6473580978 1702747.9871965493
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 1.9508066616 6.0 5.9016133232 1169049.9269177222 564488.148681133 1733538.0755988553
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 1.9508066616 6.0 9.0 1270732.255645188 613557.7906363995 1884290.0462815876
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 2.6315125012 6.0 9.0 1085457.8994624126 666154.770562965 1751612.6700253775
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 1.1975436565 9.0 1267530.2447973727 627318.4999018549 1894848.7446992276
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 2.127016654 9.0 1078935.102910526 625307.0419889588 1704242.144899485
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 2.127016654 12.0983866768 1021666.0343342536 654794.483297113 1676460.5176313666
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 3.828781253 9.0 1247315.9820119694 581535.2281685227 1828851.2101804921
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 6.0 5.1580349252 1348599.573176059 572001.1937722033 1920600.7669482622
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.1185261939 45.5 45.5 3.5 6.0 9.0 1149228.922267146 586341.9382742147 1735570.8605413607
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 6.0 5.9016133232 1178713.0973552861 618329.7544038056 1797042.8517590917
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 6.0 7.2630250024 1173308.0455619958 587230.8381109282 1760538.883672924
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 6.0 10.7369749976 999598.3725631768 651247.3531208236 1650845.7256840004
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 6.0 12.0983866768 1010608.3089936138 657648.986792335 1668257.2957859489
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 6.0 12.841965075200001 1189871.7956847427 638555.4645058075 1828427.2601905502
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 9.872983346 5.9016133232 1043042.0992789115 627304.2235827977 1670346.3228617092
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 9.872983346 9.0 1003285.4081017278 650446.9118068767 1653732.3199086045
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 9.872983346 12.0983866768 1054883.9174511554 619078.0863249616 1673962.003776117
10.0 10.0 300.0 1.0 206.0129077457011 0.58381049962 120.27249859918673 10.6762099924 34.2683482966 34.2683482966 3.5 6.0 9.0 715202.3801007185 706733.9289272809 1421936.3090279994
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 3.5 10.802456344 9.0 1008707.4657066237 653621.1343264148 1662328.6000330385
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 5.0491933384 2.127016654 9.0 1139384.1755163306 640437.0886720375 1779821.264188368
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 5.0491933384 6.0 5.9016133232 980771.5944178948 691756.5560143808 1672528.1504322756
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 5.0491933384 6.0 9.0 1033090.9744518185 651012.8942912098 1684103.8687430283
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 5.0491933384 6.0 12.0983866768 1000998.4358134782 653613.0483628351 1654611.4841763133
10.0 10.0 300.0 1.0 206.0129077457011 0.7 144.20903542199076 10.6762099924 45.5 45.5 5.4209825376000005 6.0 9.0 1125294.6179583417 607460.1215237351 1732754.7394820768
