target_mw,delivered_mw,fraction_used,n_tries,success,band,angle,template,turbine,seed
1833.0,0.0,0.0,160,False,"(75, 90)",300,,Haliade-X 15.5MW,0
924.0,0.0,0.0,160,False,"(3, 10)",240,,Haliade-X 15.5MW,0
924.0,924.0,1.0,5,True,"(20, 30)",120,staircase_10corners,DTU10MW,0
1833.0,0.0,0.0,160,False,"(10, 20)",240,,Haliade-X 13MW,0
132.0,132.0,1.0,3,True,"(75, 90)",120,staircase_7corners,Haliade-X 13MW,0
30.0,30.0,1.0,2,True,"(110, 130)",30,staircase_9corners,Haliade-X 15.5MW,0
1833.0,0.0,0.0,160,False,"(90, 110)",0,,Haliade-X 15.5MW,0
30.0,30.0,1.0,2,True,"(10, 20)",90,staircase_9corners,Haliade-X 15.5MW,0
780.0,0.0,0.0,160,False,"(60, 75)",330,,Haliade-X 13MW,0
30.0,0.0,0.0,40,False,"(3, 10)",240,,Haliade-X 13MW,0
572.0,0.0,0.0,160,False,"(90, 110)",210,,Haliade-X 13MW,0
780.0,0.0,0.0,160,False,"(75, 90)",180,,Haliade-X 15.5MW,0
715.0,0.0,0.0,160,False,"(30, 45)",180,,Haliade-X 13MW,0
715.0,0.0,0.0,160,False,"(60, 75)",150,,Haliade-X 13MW,0
30.0,30.0,1.0,1,True,"(45, 60)",210,staircase_7corners,DTU10MW,0
30.0,30.0,1.0,4,True,"(90, 110)",30,staircase_6corners,Haliade-X 13MW,0
132.0,132.0,1.0,1,True,"(110, 130)",0,staircase_9corners,DTU10MW,0
30.0,0.0,0.0,40,False,"(20, 30)",270,,DTU10MW,0
924.0,924.0,1.0,1,True,"(75, 90)",60,staircase_10corners,Haliade-X 15.5MW,0
780.0,0.0,0.0,160,False,"(130, 150)",210,,Haliade-X 15.5MW,0
806.0,0.0,0.0,160,False,"(20, 30)",240,,DTU10MW,0
572.0,429.0,0.75,46,True,"(60, 75)",300,staircase_8corners,DTU10MW,0
806.0,0.0,0.0,160,False,"(90, 110)",180,,DTU10MW,0
924.0,0.0,0.0,160,False,"(130, 150)",150,,DTU10MW,0
715.0,357.5,0.5,86,True,"(10, 20)",330,staircase_8corners,DTU10MW,0
780.0,0.0,0.0,160,False,"(75, 90)",0,,DTU10MW,0
2080.0,0.0,0.0,160,False,"(3, 10)",0,,DTU10MW,0
1833.0,0.0,0.0,160,False,"(20, 30)",240,,Haliade-X 15.5MW,0
2043.0,0.0,0.0,160,False,"(20, 30)",210,,Haliade-X 15.5MW,0
572.0,0.0,0.0,160,False,"(45, 60)",180,,Haliade-X 13MW,1
132.0,0.0,0.0,160,False,"(45, 60)",180,,DTU10MW,1
572.0,572.0,1.0,6,True,"(20, 30)",120,staircase_10corners,Haliade-X 15.5MW,1
132.0,132.0,1.0,11,True,"(75, 90)",300,staircase_8corners,Haliade-X 13MW,1
780.0,0.0,0.0,160,False,"(60, 75)",30,,Haliade-X 13MW,1
2080.0,0.0,0.0,160,False,"(130, 150)",120,,Haliade-X 15.5MW,1
132.0,0.0,0.0,160,False,"(60, 75)",0,,Haliade-X 15.5MW,1
715.0,536.25,0.75,55,True,"(45, 60)",210,staircase_6corners,Haliade-X 15.5MW,1
715.0,0.0,0.0,160,False,"(110, 130)",330,,DTU10MW,1
2080.0,0.0,0.0,160,False,"(3, 10)",210,,Haliade-X 15.5MW,1
132.0,33.0,0.25,144,True,"(60, 75)",150,staircase_10corners,Haliade-X 15.5MW,1
780.0,0.0,0.0,160,False,"(90, 110)",300,,DTU10MW,1
572.0,286.0,0.5,93,True,"(45, 60)",30,staircase_6corners,Haliade-X 15.5MW,1
30.0,30.0,1.0,1,True,"(20, 30)",330,staircase_6corners,Haliade-X 15.5MW,1
924.0,0.0,0.0,160,False,"(110, 130)",60,,DTU10MW,1
30.0,0.0,0.0,40,False,"(110, 130)",150,,Haliade-X 13MW,1
572.0,572.0,1.0,1,True,"(130, 150)",0,staircase_9corners,Haliade-X 13MW,1
780.0,0.0,0.0,160,False,"(3, 10)",30,,Haliade-X 15.5MW,1
780.0,195.0,0.25,134,True,"(10, 20)",0,staircase_8corners,Haliade-X 15.5MW,1
132.0,0.0,0.0,160,False,"(75, 90)",150,,DTU10MW,1
2080.0,0.0,0.0,160,False,"(45, 60)",180,,Haliade-X 15.5MW,1
