trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
20260807_033623_000000,20260807_033623,0,Nygaard_TurboGaussian,28.2,3289.9605939148223,3231.624476241143,1.773,2818.144056040762,14.341
20260807_033623_000000,20260807_033623,0,SuperGaussian,7.62,3341.8203828268415,3337.5622146285536,0.127,2977.242297435835,10.91
20260807_033623_000001,20260807_033623,1,Nygaard_TurboGaussian,18.87,3422.368870570838,3358.481165786033,1.867,3033.609098737224,11.359
20260807_033623_000001,20260807_033623,1,SuperGaussian,4.86,3475.612357613236,3470.9567250424943,0.134,3194.297147282562,8.094
20260807_033623_000002,20260807_033623,2,Nygaard_TurboGaussian,50.08,3364.030117235816,3315.159290056659,1.453,2880.115085214463,14.385
20260807_033623_000002,20260807_033623,2,SuperGaussian,14.1,3414.4620838972037,3410.869600650264,0.105,3028.2742636798293,11.31
20260807_033623_000003,20260807_033623,3,Nygaard_TurboGaussian,38.9,3000.489930396815,2941.750449715303,1.958,2537.3404679004525,15.436
20260807_033623_000003,20260807_033623,3,SuperGaussian,11.12,3052.187169509012,3047.9414167586065,0.139,2692.789014785586,11.775
20260807_033623_000004,20260807_033623,4,Nygaard_TurboGaussian,41.75,3028.0054408689766,2965.8137197245687,2.054,2573.98871076419,14.994
20260807_033623_000004,20260807_033623,4,SuperGaussian,12.08,3081.183454870471,3076.6896629325,0.146,2756.7173963359755,10.531
