trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
20260807_033623_000000,20260807_033623,0,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
20260807_033623_000000,20260807_033623,0,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000000,20260807_033623,0,SouthCoast Wind,True,78,Haliade-X 15.5MW
20260807_033623_000000,20260807_033623,0,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000000,20260807_033623,0,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000000,20260807_033623,0,Sunrise Wind North,True,2,Haliade-X 13MW
20260807_033623_000000,20260807_033623,0,Revolution Wind North,True,1,Haliade-X 13MW
20260807_033623_000000,20260807_033623,0,Vineyard Northeast,True,205,DTU10MW
20260807_033623_000000,20260807_033623,0,New England Wind 1,True,53,Haliade-X 15.5MW
20260807_033623_000000,20260807_033623,0,New England Wind 2 South,True,41,Haliade-X 15.5MW
20260807_033623_000000,20260807_033623,0,Beacon Wind,True,109,Haliade-X 13MW
20260807_033623_000000,20260807_033623,0,Bay State Wind South,True,196,DTU10MW
20260807_033623_000000,20260807_033623,0,Bay State Wind North,True,1,DTU10MW
20260807_033623_000000,20260807_033623,0,Speculative_00,True,54,Haliade-X 13MW
20260807_033623_000000,20260807_033623,0,Speculative_01,True,10,Haliade-X 15.5MW
20260807_033623_000000,20260807_033623,0,Speculative_02,True,93,DTU10MW
20260807_033623_000000,20260807_033623,0,Speculative_03,True,9,Haliade-X 15.5MW
20260807_033623_000000,20260807_033623,0,Speculative_04,True,31,Haliade-X 13MW
20260807_033623_000000,20260807_033623,0,Speculative_05,True,31,Haliade-X 13MW
20260807_033623_000000,20260807_033623,0,Speculative_06,True,23,DTU10MW
20260807_033623_000001,20260807_033623,1,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
20260807_033623_000001,20260807_033623,1,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000001,20260807_033623,1,SouthCoast Wind,True,106,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000001,20260807_033623,1,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000001,20260807_033623,1,Sunrise Wind North,True,3,DTU10MW
20260807_033623_000001,20260807_033623,1,Revolution Wind North,True,1,DTU10MW
20260807_033623_000001,20260807_033623,1,Vineyard Northeast,True,150,Haliade-X 13MW
20260807_033623_000001,20260807_033623,1,New England Wind 1,True,33,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,New England Wind 2 South,True,54,Haliade-X 13MW
20260807_033623_000001,20260807_033623,1,Beacon Wind,True,69,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,Bay State Wind South,True,79,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,Bay State Wind North,True,1,Haliade-X 13MW
20260807_033623_000001,20260807_033623,1,Speculative_00,True,48,DTU10MW
20260807_033623_000001,20260807_033623,1,Speculative_01,True,10,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,Speculative_02,True,24,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,Speculative_03,True,15,DTU10MW
20260807_033623_000001,20260807_033623,1,Speculative_04,True,62,Haliade-X 15.5MW
20260807_033623_000001,20260807_033623,1,Speculative_05,True,41,Haliade-X 13MW
20260807_033623_000001,20260807_033623,1,Speculative_06,True,20,DTU10MW
20260807_033623_000001,20260807_033623,1,Speculative_07,True,2,Haliade-X 13MW
20260807_033623_000002,20260807_033623,2,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
20260807_033623_000002,20260807_033623,2,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000002,20260807_033623,2,SouthCoast Wind,True,186,DTU10MW
20260807_033623_000002,20260807_033623,2,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000002,20260807_033623,2,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000002,20260807_033623,2,Sunrise Wind North,True,3,DTU10MW
20260807_033623_000002,20260807_033623,2,Revolution Wind North,True,1,DTU10MW
20260807_033623_000002,20260807_033623,2,Vineyard Northeast,True,196,DTU10MW
20260807_033623_000002,20260807_033623,2,New England Wind 1,True,55,Haliade-X 13MW
20260807_033623_000002,20260807_033623,2,New England Wind 2 South,True,41,Haliade-X 13MW
20260807_033623_000002,20260807_033623,2,Beacon Wind,True,157,DTU10MW
20260807_033623_000002,20260807_033623,2,Bay State Wind South,True,226,DTU10MW
20260807_033623_000002,20260807_033623,2,Bay State Wind North,True,3,DTU10MW
20260807_033623_000002,20260807_033623,2,Speculative_00,True,21,DTU10MW
20260807_033623_000002,20260807_033623,2,Speculative_01,True,44,Haliade-X 15.5MW
20260807_033623_000002,20260807_033623,2,Speculative_02,True,28,Haliade-X 15.5MW
20260807_033623_000002,20260807_033623,2,Speculative_03,True,141,Haliade-X 13MW
20260807_033623_000002,20260807_033623,2,Speculative_04,True,60,Haliade-X 13MW
20260807_033623_000002,20260807_033623,2,Speculative_05,True,105,Haliade-X 13MW
20260807_033623_000002,20260807_033623,2,Speculative_06,True,21,DTU10MW
20260807_033623_000002,20260807_033623,2,Speculative_07,True,48,Haliade-X 15.5MW
20260807_033623_000002,20260807_033623,2,Speculative_08,True,39,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
20260807_033623_000003,20260807_033623,3,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000003,20260807_033623,3,SouthCoast Wind,True,78,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000003,20260807_033623,3,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000003,20260807_033623,3,Sunrise Wind North,True,1,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Revolution Wind North,True,1,DTU10MW
20260807_033623_000003,20260807_033623,3,Vineyard Northeast,True,111,Haliade-X 13MW
20260807_033623_000003,20260807_033623,3,New England Wind 1,True,102,DTU10MW
20260807_033623_000003,20260807_033623,3,New England Wind 2 South,True,32,Haliade-X 13MW
20260807_033623_000003,20260807_033623,3,Beacon Wind,True,204,DTU10MW
20260807_033623_000003,20260807_033623,3,Bay State Wind South,True,101,Haliade-X 13MW
20260807_033623_000003,20260807_033623,3,Bay State Wind North,True,1,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Speculative_00,True,7,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Speculative_01,True,11,Haliade-X 13MW
20260807_033623_000003,20260807_033623,3,Speculative_02,True,92,DTU10MW
20260807_033623_000003,20260807_033623,3,Speculative_03,True,13,DTU10MW
20260807_033623_000003,20260807_033623,3,Speculative_04,True,1,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Speculative_05,True,51,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Speculative_06,True,159,Haliade-X 13MW
20260807_033623_000003,20260807_033623,3,Speculative_07,True,14,DTU10MW
20260807_033623_000003,20260807_033623,3,Speculative_08,True,10,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Speculative_09,True,30,Haliade-X 13MW
20260807_033623_000003,20260807_033623,3,Speculative_10,True,36,Haliade-X 15.5MW
20260807_033623_000003,20260807_033623,3,Speculative_11,True,142,Haliade-X 13MW
20260807_033623_000004,20260807_033623,4,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
20260807_033623_000004,20260807_033623,4,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000004,20260807_033623,4,SouthCoast Wind,True,81,Haliade-X 13MW
20260807_033623_000004,20260807_033623,4,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000004,20260807_033623,4,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD (Revolution Wind)
20260807_033623_000004,20260807_033623,4,Sunrise Wind North,True,3,DTU10MW
20260807_033623_000004,20260807_033623,4,Revolution Wind North,True,1,DTU10MW
20260807_033623_000004,20260807_033623,4,Vineyard Northeast,True,222,DTU10MW
20260807_033623_000004,20260807_033623,4,New England Wind 1,True,34,Haliade-X 15.5MW
20260807_033623_000004,20260807_033623,4,New England Wind 2 South,True,26,Haliade-X 15.5MW
20260807_033623_000004,20260807_033623,4,Beacon Wind,True,157,Haliade-X 13MW
20260807_033623_000004,20260807_033623,4,Bay State Wind South,True,101,Haliade-X 15.5MW
20260807_033623_000004,20260807_033623,4,Bay State Wind North,True,1,Haliade-X 15.5MW
