trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000000,mc_20260807_0627_high/task_0000,0,Nygaard_TurboGaussian,14.89,3289.9605939148223,3231.624476241144,1.773,2818.1440560407627,14.341
mc_20260807_0627_high_000000,mc_20260807_0627_high/task_0000,0,SuperGaussian,4.3,3341.8203828268424,3337.562214628554,0.127,2977.242297435836,10.91
mc_20260807_0627_high_000001,mc_20260807_0627_high/task_0000,1,Nygaard_TurboGaussian,9.6,3422.368870570838,3358.481165786033,1.867,3033.6090987372245,11.359
mc_20260807_0627_high_000001,mc_20260807_0627_high/task_0000,1,SuperGaussian,2.51,3475.612357613236,3470.9567250424943,0.134,3194.297147282562,8.094
mc_20260807_0627_high_000002,mc_20260807_0627_high/task_0000,2,Nygaard_TurboGaussian,28.65,3364.030117235816,3315.159290056659,1.453,2880.1150852144633,14.385
mc_20260807_0627_high_000002,mc_20260807_0627_high/task_0000,2,SuperGaussian,7.11,3414.4620838972032,3410.869600650264,0.105,3028.2742636798303,11.31
mc_20260807_0627_high_000003,mc_20260807_0627_high/task_0000,3,Nygaard_TurboGaussian,20.42,3000.489930396815,2941.750449715303,1.958,2537.3404679004525,15.436
mc_20260807_0627_high_000003,mc_20260807_0627_high/task_0000,3,SuperGaussian,5.15,3052.187169509012,3047.9414167586065,0.139,2692.7890147855865,11.775
mc_20260807_0627_high_000004,mc_20260807_0627_high/task_0000,4,Nygaard_TurboGaussian,19.92,3028.0054408689766,2965.8137197245687,2.054,2573.98871076419,14.994
mc_20260807_0627_high_000004,mc_20260807_0627_high/task_0000,4,SuperGaussian,4.87,3081.183454870471,3076.6896629325,0.146,2756.717396335975,10.531
mc_20260807_0627_high_000005,mc_20260807_0627_high/task_0001,5,Nygaard_TurboGaussian,34.73,3053.025111513983,3002.290158727983,1.662,2637.98661783993,13.594
mc_20260807_0627_high_000005,mc_20260807_0627_high/task_0001,5,SuperGaussian,6.41,3103.5532849874317,3099.911723082862,0.117,2780.3164638113694,10.415
