trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_high_000000,mc_20260807_0627_high/task_0000,0,high,2026-08-07T06:28:31.783,2026-08-07T06:28:58.202,2026-08-07T06:28:31.788,2026-08-07T06:28:39.007,2026-08-07T06:28:39.015,0.01,7.22,0.01,19.19,26.42,20,7,1172,23616.0,3022.5,12.8,1.0,,9.167,7,0.1588
mc_20260807_0627_high_000001,mc_20260807_0627_high/task_0000,1,high,2026-08-07T06:28:58.212,2026-08-07T06:29:19.167,2026-08-07T06:28:58.216,2026-08-07T06:29:07.060,2026-08-07T06:29:07.060,0.0,8.84,0.0,12.11,20.96,21,8,953,23616.0,2768.8,11.72,1.0,,9.389,7,0.1549
mc_20260807_0627_high_000002,mc_20260807_0627_high/task_0000,2,high,2026-08-07T06:29:19.168,2026-08-07T06:30:02.081,2026-08-07T06:29:19.171,2026-08-07T06:29:26.325,2026-08-07T06:29:26.325,0.0,7.15,0.0,35.76,42.91,22,9,1610,23616.0,6851.8,29.01,1.0,,9.29,7,0.1711
mc_20260807_0627_high_000003,mc_20260807_0627_high/task_0000,3,high,2026-08-07T06:30:02.082,2026-08-07T06:30:35.325,2026-08-07T06:30:02.086,2026-08-07T06:30:09.756,2026-08-07T06:30:09.756,0.0,7.67,0.0,25.57,33.24,25,12,1432,23616.0,7344.2,31.1,1.0,,8.576,8,0.1722
mc_20260807_0627_high_000004,mc_20260807_0627_high/task_0000,4,high,2026-08-07T06:30:35.325,2026-08-07T06:31:06.346,2026-08-07T06:30:35.328,2026-08-07T06:30:41.553,2026-08-07T06:30:41.553,0.0,6.22,0.0,24.79,31.02,23,10,1489,23616.0,6852.0,29.01,1.0,,8.739,8,0.1365
mc_20260807_0627_high_000005,mc_20260807_0627_high/task_0001,5,high,2026-08-07T06:28:32.594,2026-08-07T06:29:20.182,2026-08-07T06:28:32.599,2026-08-07T06:28:39.035,2026-08-07T06:28:39.043,0.0,6.44,0.01,41.14,47.59,22,9,1477,23616.0,7366.0,31.19,1.0,,8.732,7,0.1531
mc_20260807_0627_high_000010,mc_20260807_0627_high/task_0002,10,high,2026-08-07T06:28:33.165,2026-08-07T06:29:20.345,2026-08-07T06:28:33.170,2026-08-07T06:28:40.918,2026-08-07T06:28:40.926,0.0,7.75,0.01,39.42,47.18,28,15,1434,23616.0,6984.2,29.57,1.0,,8.989,7,0.1569
mc_20260807_0627_high_000011,mc_20260807_0627_high/task_0002,11,high,2026-08-07T06:29:20.349,2026-08-07T06:29:49.631,2026-08-07T06:29:20.353,2026-08-07T06:29:28.148,2026-08-07T06:29:28.149,0.0,7.79,0.0,21.48,29.28,21,8,1248,23616.0,3564.0,15.09,1.0,,9.288,7,0.1484
mc_20260807_0627_high_000012,mc_20260807_0627_high/task_0002,12,high,2026-08-07T06:29:49.632,2026-08-07T06:30:24.934,2026-08-07T06:29:49.636,2026-08-07T06:29:55.476,2026-08-07T06:29:55.476,0.0,5.84,0.0,29.46,35.3,25,12,1557,23616.0,8455.0,35.8,1.0,,9.162,7,0.1504
mc_20260807_0627_high_000013,mc_20260807_0627_high/task_0002,13,high,2026-08-07T06:30:24.935,2026-08-07T06:30:48.045,2026-08-07T06:30:24.938,2026-08-07T06:30:31.679,2026-08-07T06:30:31.680,0.0,6.74,0.0,16.37,23.11,28,15,1277,23616.0,7393.0,31.31,1.0,,8.758,7,0.1842
mc_20260807_0627_high_000014,mc_20260807_0627_high/task_0002,14,high,2026-08-07T06:30:48.046,2026-08-07T06:31:15.394,2026-08-07T06:30:48.049,2026-08-07T06:30:54.897,2026-08-07T06:30:54.898,0.0,6.85,0.0,20.5,27.35,25,12,1461,23616.0,7110.2,30.11,1.0,,9.209,7,0.1581
mc_20260807_0627_high_000015,mc_20260807_0627_high/task_0003,15,high,2026-08-07T06:28:33.202,2026-08-07T06:29:18.255,2026-08-07T06:28:33.209,2026-08-07T06:28:40.001,2026-08-07T06:28:40.010,0.01,6.79,0.01,38.25,45.05,27,14,1396,23616.0,6141.8,26.01,1.0,,8.775,8,0.1367
mc_20260807_0627_high_000016,mc_20260807_0627_high/task_0003,16,high,2026-08-07T06:29:18.261,2026-08-07T06:29:44.808,2026-08-07T06:29:18.265,2026-08-07T06:29:25.964,2026-08-07T06:29:25.965,0.0,7.7,0.0,18.84,26.55,22,9,1163,23616.0,4429.0,18.75,1.0,,9.134,7,0.1691
mc_20260807_0627_high_000017,mc_20260807_0627_high/task_0003,17,high,2026-08-07T06:29:44.809,2026-08-07T06:30:07.128,2026-08-07T06:29:44.812,2026-08-07T06:29:52.700,2026-08-07T06:29:52.700,0.0,7.89,0.0,14.43,22.32,19,6,1126,23616.0,3958.0,16.76,1.0,,9.274,8,0.1445
