trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_high_000050,mc_20260807_0627_high/task_0010,50,Nygaard_TurboGaussian,36.01,3354.4455525445983,3293.5990781161545,1.814,2851.514052618843,14.993
mc_20260807_0627_high_000050,mc_20260807_0627_high/task_0010,50,SuperGaussian,5.57,3407.4583933119993,3403.023754891952,0.13,3009.75527484112,11.672
mc_20260807_0627_high_000051,mc_20260807_0627_high/task_0010,51,Nygaard_TurboGaussian,18.58,3079.685592384501,3024.14910617369,1.803,2623.1047737706926,14.826
mc_20260807_0627_high_000051,mc_20260807_0627_high/task_0010,51,SuperGaussian,4.35,3128.229543055963,3124.168198967958,0.13,2758.867856926021,11.807
mc_20260807_0627_high_000052,mc_20260807_0627_high/task_0010,52,Nygaard_TurboGaussian,10.31,3250.5661889297635,3193.669666171305,1.75,2839.2707334827,12.653
mc_20260807_0627_high_000052,mc_20260807_0627_high/task_0010,52,SuperGaussian,3.96,3301.834260862722,3297.724436981718,0.124,3016.6856313126573,8.636
mc_20260807_0627_high_000053,mc_20260807_0627_high/task_0010,53,Nygaard_TurboGaussian,12.67,3228.7228022267336,3170.5756026435665,1.801,2797.3596880849127,13.36
mc_20260807_0627_high_000053,mc_20260807_0627_high/task_0010,53,SuperGaussian,4.83,3281.5680003696493,3277.291189415252,0.13,2960.363653326219,9.788
mc_20260807_0627_high_000054,mc_20260807_0627_high/task_0010,54,Nygaard_TurboGaussian,12.0,2983.8374883878273,2935.4515054976846,1.622,2550.043887273096,14.538
mc_20260807_0627_high_000054,mc_20260807_0627_high/task_0010,54,SuperGaussian,3.69,3033.8320682243875,3030.3174528111767,0.116,2685.4371111805185,11.484
