trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,SouthCoast Wind,True,125,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Sunrise Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Revolution Wind North,True,1,DTU10MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Vineyard Northeast,True,67,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,New England Wind 1,True,38,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,New England Wind 2 South,True,34,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Beacon Wind,True,160,Haliade-X 13MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Bay State Wind South,True,147,Haliade-X 13MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Bay State Wind North,True,3,DTU10MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Speculative_00,True,20,DTU10MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Speculative_01,True,35,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Speculative_02,True,50,Haliade-X 15.5MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Speculative_03,True,44,Haliade-X 13MW
mc_20260807_0627_high_000055,mc_20260807_0627_high/task_0011,55,Speculative_04,True,26,Haliade-X 15.5MW
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,SouthCoast Wind,True,74,Haliade-X 15.5MW
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Sunrise Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Revolution Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_high_000056,mc_20260807_0627_high/task_0011,56,Vineyard Northeast,True,111,Haliade-X 15.5MW
