trial_id,run_id,seed,band_lo_km,band_hi_km,angle_deg,target_mw,delivered_mw,fraction_used,n_tries,success,template,turbine_attempted
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,30,45,0,780,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,90,110,300,132,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,45,60,30,780,585.0,0.75,44,True,staircase_9corners,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,240,2080,2080.0,1.0,15,True,staircase_8corners,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,180,806,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,10,20,300,806,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,10,20,270,132,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,20,30,90,572,572.0,1.0,1,True,staircase_7corners,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,240,1833,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,210,572,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,20,30,120,780,195.0,0.25,123,True,staircase_7corners,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,90,110,270,2080,1040.0,0.5,115,True,staircase_10corners,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,300,780,585.0,0.75,64,True,staircase_7corners,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,3,10,300,30,0.0,0.0,40,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,0,806,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,45,60,90,132,132.0,1.0,1,True,staircase_9corners,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,30,45,60,715,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,30,45,30,572,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,210,572,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,90,110,90,806,806.0,1.0,4,True,staircase_8corners,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,60,75,210,2080,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,60,75,240,2080,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,90,110,330,132,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,45,60,300,806,403.0,0.5,118,True,staircase_6corners,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,130,150,180,924,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,3,10,150,715,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,30,45,270,806,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,60,75,180,132,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000080,mc_20260807_0627_high/task_0016,80,75,90,330,175.0,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,10,20,240,30,0.0,0.0,40,False,,DTU10MW
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,75,90,150,780,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,3,10,150,30,0.0,0.0,40,False,,Haliade-X 13MW
mc_20260807_0627_high_000081,mc_20260807_0627_high/task_0016,81,60,75,30,2080,0.0,0.0,160,False,,Haliade-X 13MW
