trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,Nygaard_TurboGaussian,9.62,3289.9605939148223,3231.624476241144,1.773,2843.8230916360894,13.561
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,SuperGaussian,3.01,3341.8203828268424,3337.562214628554,0.127,3005.904009638187,10.052
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,Nygaard_TurboGaussian,6.77,3422.368870570838,3358.481165786033,1.867,3068.4879031608484,10.34
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,SuperGaussian,1.98,3475.612357613236,3470.9567250424943,0.134,3215.742692966865,7.477
mc_20260807_0627_low_000002,mc_20260807_0627_low/task_0000,2,Nygaard_TurboGaussian,12.26,3364.030117235816,3315.159290056659,1.453,2942.5393835941577,12.529
mc_20260807_0627_low_000002,mc_20260807_0627_low/task_0000,2,SuperGaussian,4.7,3414.4620838972032,3410.869600650264,0.105,3075.0192499630284,9.941
mc_20260807_0627_low_000003,mc_20260807_0627_low/task_0000,3,Nygaard_TurboGaussian,7.67,3000.489930396815,2941.750449715303,1.958,2573.904131671472,14.217
mc_20260807_0627_low_000003,mc_20260807_0627_low/task_0000,3,SuperGaussian,2.86,3052.187169509012,3047.9414167586065,0.139,2722.376550128697,10.806
mc_20260807_0627_low_000004,mc_20260807_0627_low/task_0000,4,Nygaard_TurboGaussian,7.23,3028.0054408689766,2965.8137197245687,2.054,2615.7772078771477,13.614
mc_20260807_0627_low_000004,mc_20260807_0627_low/task_0000,4,SuperGaussian,2.24,3081.183454870471,3076.6896629325,0.146,2787.3878819029014,9.535
mc_20260807_0627_low_000005,mc_20260807_0627_low/task_0001,5,Nygaard_TurboGaussian,7.86,3053.025111513983,3002.290158727983,1.662,2662.532862353318,12.79
mc_20260807_0627_low_000005,mc_20260807_0627_low/task_0001,5,SuperGaussian,2.17,3103.5532849874317,3099.911723082862,0.117,2806.057956681334,9.586
mc_20260807_0627_low_000006,mc_20260807_0627_low/task_0001,6,Nygaard_TurboGaussian,13.81,3749.9470483488076,3691.6426853768708,1.555,3266.4666951161903,12.893
mc_20260807_0627_low_000006,mc_20260807_0627_low/task_0001,6,SuperGaussian,6.44,3798.47810407859,3794.212206528515,0.112,3415.2748619452823,10.088
mc_20260807_0627_low_000007,mc_20260807_0627_low/task_0001,7,Nygaard_TurboGaussian,10.5,3327.603340328542,3266.9967804177886,1.821,2872.4842637861348,13.677
mc_20260807_0627_low_000007,mc_20260807_0627_low/task_0001,7,SuperGaussian,4.75,3378.34204085474,3373.8947012828407,0.132,3025.903888623477,10.432
mc_20260807_0627_low_000008,mc_20260807_0627_low/task_0001,8,Nygaard_TurboGaussian,7.74,3021.6722788028183,2975.0774669248385,1.542,2635.1737078437964,12.791
mc_20260807_0627_low_000008,mc_20260807_0627_low/task_0001,8,SuperGaussian,2.67,3069.3350289704017,3065.916882266639,0.111,2773.131822088198,9.65
mc_20260807_0627_low_000009,mc_20260807_0627_low/task_0001,9,Nygaard_TurboGaussian,4.24,3314.8415811345617,3256.430713581478,1.762,2973.4917887722854,10.298
mc_20260807_0627_low_000009,mc_20260807_0627_low/task_0001,9,SuperGaussian,1.56,3363.9995728981103,3359.822537737593,0.124,3107.1152153496314,7.636
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Nygaard_TurboGaussian,8.22,3182.2353945893155,3131.74677731879,1.587,2827.5067115155844,11.147
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,SuperGaussian,2.02,3231.3904541850184,3227.7046470320493,0.114,2952.307783730057,8.637
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,Nygaard_TurboGaussian,10.61,3338.4774768736515,3267.1534038889813,2.136,2914.5799484385298,12.697
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,SuperGaussian,3.01,3394.2980895590235,3389.127692273743,0.152,3082.635295014148,9.182
mc_20260807_0627_low_000012,mc_20260807_0627_low/task_0002,12,Nygaard_TurboGaussian,9.31,3283.7280079311176,3209.5881802244758,2.258,2851.8797834807333,13.151
mc_20260807_0627_low_000012,mc_20260807_0627_low/task_0002,12,SuperGaussian,3.54,3339.5739019723856,3334.287982421369,0.158,3013.453695904698,9.765
mc_20260807_0627_low_000013,mc_20260807_0627_low/task_0002,13,Nygaard_TurboGaussian,5.77,3105.538522613575,3056.1779839706037,1.589,2712.5788213852798,12.654
mc_20260807_0627_low_000013,mc_20260807_0627_low/task_0002,13,SuperGaussian,1.52,3154.9022158393564,3151.3100642507625,0.114,2846.5900941412533,9.772
mc_20260807_0627_low_000014,mc_20260807_0627_low/task_0002,14,Nygaard_TurboGaussian,8.77,3344.929240512704,3298.716892131046,1.382,2960.005201008805,11.508
mc_20260807_0627_low_000014,mc_20260807_0627_low/task_0002,14,SuperGaussian,2.24,3394.8591957867648,3391.4564854237633,0.1,3091.7309118799567,8.929
mc_20260807_0627_low_000015,mc_20260807_0627_low/task_0003,15,Nygaard_TurboGaussian,10.25,3060.859893111301,3014.6187589429874,1.511,2676.0192451384937,12.573
mc_20260807_0627_low_000015,mc_20260807_0627_low/task_0003,15,SuperGaussian,2.56,3109.821723781434,3106.392593518043,0.11,2812.987331080255,9.545
mc_20260807_0627_low_000016,mc_20260807_0627_low/task_0003,16,Nygaard_TurboGaussian,7.94,3254.654665675072,3193.9206833356084,1.866,2849.8345561035935,12.438
mc_20260807_0627_low_000016,mc_20260807_0627_low/task_0003,16,SuperGaussian,2.16,3307.1364022857138,3302.8177674180724,0.131,2999.1004497299054,9.314
mc_20260807_0627_low_000017,mc_20260807_0627_low/task_0003,17,Nygaard_TurboGaussian,8.19,3358.791346353927,3285.2346715790445,2.19,2985.425489723972,11.116
mc_20260807_0627_low_000017,mc_20260807_0627_low/task_0003,17,SuperGaussian,2.59,3415.0075954684426,3409.750178662257,0.154,3151.145473002867,7.727
mc_20260807_0627_low_000018,mc_20260807_0627_low/task_0003,18,Nygaard_TurboGaussian,11.42,3188.5407430247233,3135.1204102755764,1.675,2745.9152946767836,13.882
mc_20260807_0627_low_000018,mc_20260807_0627_low/task_0003,18,SuperGaussian,3.1,3240.424272178102,3236.524532074781,0.12,2900.640703845095,10.486
mc_20260807_0627_low_000019,mc_20260807_0627_low/task_0003,19,Nygaard_TurboGaussian,7.23,3349.8493511430424,3276.3416909114203,2.194,2914.2885174854846,13.002
mc_20260807_0627_low_000019,mc_20260807_0627_low/task_0003,19,SuperGaussian,1.59,3405.217953469226,3399.924244621983,0.155,3087.550091715645,9.329
mc_20260807_0627_low_000020,mc_20260807_0627_low/task_0004,20,Nygaard_TurboGaussian,10.59,3231.2506729391516,3158.6918773914986,2.246,2812.293829919313,12.966
mc_20260807_0627_low_000020,mc_20260807_0627_low/task_0004,20,SuperGaussian,3.24,3287.527186526361,3282.349316512162,0.158,2987.7680934047958,9.118
mc_20260807_0627_low_000021,mc_20260807_0627_low/task_0004,21,Nygaard_TurboGaussian,8.94,3389.39021556213,3318.0999442140424,2.103,2957.504778292333,12.742
mc_20260807_0627_low_000021,mc_20260807_0627_low/task_0004,21,SuperGaussian,3.75,3441.79599197969,3436.7003094787897,0.148,3113.8000381795473,9.53
mc_20260807_0627_low_000022,mc_20260807_0627_low/task_0004,22,Nygaard_TurboGaussian,8.02,3159.8596562275816,3113.480577562261,1.468,2812.949255347064,10.979
mc_20260807_0627_low_000022,mc_20260807_0627_low/task_0004,22,SuperGaussian,3.46,3205.2533609382635,3201.8608398514443,0.106,2943.186778959256,8.176
mc_20260807_0627_low_000023,mc_20260807_0627_low/task_0004,23,Nygaard_TurboGaussian,6.78,3451.7098598090865,3383.9729879591323,1.962,3063.3817500069053,11.25
mc_20260807_0627_low_000023,mc_20260807_0627_low/task_0004,23,SuperGaussian,2.16,3504.9852039398415,3500.0097408869597,0.142,3224.3188673096956,8.008
mc_20260807_0627_low_000024,mc_20260807_0627_low/task_0004,24,Nygaard_TurboGaussian,8.72,3369.391012657226,3297.7404222182768,2.127,2949.5121074655394,12.462
mc_20260807_0627_low_000024,mc_20260807_0627_low/task_0004,24,SuperGaussian,1.97,3424.0871261473353,3418.983221617895,0.149,3108.8771881146363,9.206
mc_20260807_0627_low_000025,mc_20260807_0627_low/task_0005,25,Nygaard_TurboGaussian,10.19,3416.6830483318117,3355.476699134754,1.791,2986.9037157211883,12.579
mc_20260807_0627_low_000025,mc_20260807_0627_low/task_0005,25,SuperGaussian,2.52,3471.1459213602902,3466.721033014657,0.127,3128.0383302643586,9.885
mc_20260807_0627_low_000026,mc_20260807_0627_low/task_0005,26,Nygaard_TurboGaussian,8.92,2750.3954150663876,2706.5715872341134,1.593,2393.15349327309,12.989
mc_20260807_0627_low_000026,mc_20260807_0627_low/task_0005,26,SuperGaussian,2.27,2798.725962986005,2795.5728998465547,0.113,2530.7396809652737,9.575
mc_20260807_0627_low_000027,mc_20260807_0627_low/task_0005,27,Nygaard_TurboGaussian,9.72,3479.2136310548076,3411.0621332223677,1.959,3073.6471945339754,11.657
mc_20260807_0627_low_000027,mc_20260807_0627_low/task_0005,27,SuperGaussian,2.64,3533.8322198840106,3528.876216542055,0.14,3229.7032287161273,8.606
mc_20260807_0627_low_000028,mc_20260807_0627_low/task_0005,28,Nygaard_TurboGaussian,7.37,3184.1979388428763,3128.643968270814,1.745,2800.5406985854715,12.049
