trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_low_000000,mc_20260807_0627_low/task_0000,0,low,2026-08-07T06:27:26.435,2026-08-07T06:27:39.089,2026-08-07T06:27:26.440,2026-08-07T06:27:26.453,2026-08-07T06:27:26.460,0.0,0.01,0.01,12.63,12.65,13,0,921,0,0,,1.0,,9.167,7,0.1588
mc_20260807_0627_low_000001,mc_20260807_0627_low/task_0000,1,low,2026-08-07T06:27:39.097,2026-08-07T06:27:47.868,2026-08-07T06:27:39.101,2026-08-07T06:27:39.112,2026-08-07T06:27:39.112,0.0,0.01,0.0,8.76,8.77,13,0,731,0,0,,1.0,,9.389,7,0.1549
mc_20260807_0627_low_000002,mc_20260807_0627_low/task_0000,2,low,2026-08-07T06:27:47.869,2026-08-07T06:28:04.855,2026-08-07T06:27:47.872,2026-08-07T06:27:47.892,2026-08-07T06:27:47.892,0.0,0.02,0.0,16.96,16.99,13,0,1103,0,0,,1.0,,9.29,7,0.1711
mc_20260807_0627_low_000003,mc_20260807_0627_low/task_0000,3,low,2026-08-07T06:28:04.855,2026-08-07T06:28:15.397,2026-08-07T06:28:04.859,2026-08-07T06:28:04.872,2026-08-07T06:28:04.873,0.0,0.01,0.0,10.52,10.54,13,0,866,0,0,,1.0,,8.576,8,0.1722
mc_20260807_0627_low_000004,mc_20260807_0627_low/task_0000,4,low,2026-08-07T06:28:15.397,2026-08-07T06:28:24.887,2026-08-07T06:28:15.401,2026-08-07T06:28:15.414,2026-08-07T06:28:15.415,0.0,0.01,0.0,9.47,9.49,13,0,861,0,0,,1.0,,8.739,8,0.1365
mc_20260807_0627_low_000005,mc_20260807_0627_low/task_0001,5,low,2026-08-07T06:27:26.429,2026-08-07T06:27:36.487,2026-08-07T06:27:26.434,2026-08-07T06:27:26.446,2026-08-07T06:27:26.453,0.01,0.01,0.01,10.03,10.06,13,0,803,0,0,,1.0,,8.732,7,0.1531
mc_20260807_0627_low_000006,mc_20260807_0627_low/task_0001,6,low,2026-08-07T06:27:36.491,2026-08-07T06:27:56.764,2026-08-07T06:27:36.495,2026-08-07T06:27:36.517,2026-08-07T06:27:36.517,0.0,0.02,0.0,20.25,20.27,13,0,1214,0,0,,1.0,,9.888,7,0.1901
mc_20260807_0627_low_000007,mc_20260807_0627_low/task_0001,7,low,2026-08-07T06:27:56.765,2026-08-07T06:28:12.037,2026-08-07T06:27:56.770,2026-08-07T06:27:56.789,2026-08-07T06:27:56.790,0.01,0.02,0.0,15.25,15.27,13,0,1092,0,0,,1.0,,9.235,7,0.1438
mc_20260807_0627_low_000008,mc_20260807_0627_low/task_0001,8,low,2026-08-07T06:28:12.037,2026-08-07T06:28:22.462,2026-08-07T06:28:12.041,2026-08-07T06:28:12.055,2026-08-07T06:28:12.056,0.0,0.01,0.0,10.41,10.43,13,0,856,0,0,,1.0,,8.719,8,0.1386
mc_20260807_0627_low_000009,mc_20260807_0627_low/task_0001,9,low,2026-08-07T06:28:22.463,2026-08-07T06:28:28.280,2026-08-07T06:28:22.466,2026-08-07T06:28:22.479,2026-08-07T06:28:22.479,0.0,0.01,0.0,5.8,5.82,13,0,857,0,0,,1.0,,9.258,7,0.1723
