trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,SouthCoast Wind,True,143,DTU10MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Sunrise Wind North,True,2,DTU10MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Revolution Wind North,True,1,DTU10MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Vineyard Northeast,True,164,Haliade-X 13MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,New England Wind 1,True,45,Haliade-X 15.5MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,New England Wind 2 South,True,57,DTU10MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Beacon Wind,True,71,Haliade-X 15.5MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Bay State Wind South,True,127,Haliade-X 13MW
mc_20260807_0627_low_000010,mc_20260807_0627_low/task_0002,10,Bay State Wind North,True,3,DTU10MW
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_low_000011,mc_20260807_0627_low/task_0002,11,SouthCoast Wind,True,227,DTU10MW
