trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_low_000090,mc_20260807_0627_low/task_0018,90,Nygaard_TurboGaussian,7.3,3372.29265884437,3308.4429586062843,1.893,2948.270000049477,12.574
mc_20260807_0627_low_000090,mc_20260807_0627_low/task_0018,90,SuperGaussian,2.55,3423.3348215361475,3418.6566519776525,0.137,3098.8779883844472,9.478
mc_20260807_0627_low_000091,mc_20260807_0627_low/task_0018,91,Nygaard_TurboGaussian,7.42,3387.3373626523007,3326.0277724573616,1.81,2980.450774738076,12.012
mc_20260807_0627_low_000091,mc_20260807_0627_low/task_0018,91,SuperGaussian,2.3,3438.204250325545,3433.785126288004,0.129,3134.41574074654,8.836
mc_20260807_0627_low_000092,mc_20260807_0627_low/task_0018,92,Nygaard_TurboGaussian,9.67,3055.4967855932355,3013.0707120201128,1.389,2717.7225853024356,11.055
mc_20260807_0627_low_000092,mc_20260807_0627_low/task_0018,92,SuperGaussian,2.89,3103.520804246461,3100.4853953237125,0.098,2842.69500900688,8.404
mc_20260807_0627_low_000093,mc_20260807_0627_low/task_0018,93,Nygaard_TurboGaussian,10.84,3132.0463371521364,3070.3734292271206,1.969,2682.199337766132,14.363
mc_20260807_0627_low_000093,mc_20260807_0627_low/task_0018,93,SuperGaussian,3.25,3183.9329176845104,3179.4066599272523,0.142,2817.945534944668,11.495
mc_20260807_0627_low_000094,mc_20260807_0627_low/task_0018,94,Nygaard_TurboGaussian,11.23,3420.974142706742,3351.7402184550933,2.024,3002.382458735834,12.236
mc_20260807_0627_low_000094,mc_20260807_0627_low/task_0018,94,SuperGaussian,2.46,3474.6945444603107,3469.74356447043,0.142,3155.028851315764,9.2
