trial_id,run_id,seed,pd_level,t_start_iso,t_end_iso,t_climate_done_iso,t_layout_done_iso,t_bridge_done_iso,dt_climate_s,dt_layout_s,dt_bridge_s,dt_aep_total_s,dt_total_s,n_farms_total,n_new_farms,n_turbines_total,requested_mw,delivered_mw,delivered_pct,climate_scale,climate_extreme_modes,climate_mean_speed,climate_dominant_sector,climate_dominant_sector_freq
mc_20260807_0627_medium_000000,mc_20260807_0627_medium/task_0000,0,medium,2026-08-07T06:27:26.362,2026-08-07T06:28:06.836,2026-08-07T06:27:26.367,2026-08-07T06:27:28.688,2026-08-07T06:27:28.697,0.01,2.32,0.01,38.14,40.47,18,5,1389,11808.0,6133.8,51.95,1.0,,9.167,7,0.1588
mc_20260807_0627_medium_000001,mc_20260807_0627_medium/task_0000,1,medium,2026-08-07T06:28:06.839,2026-08-07T06:28:25.458,2026-08-07T06:28:06.844,2026-08-07T06:28:10.915,2026-08-07T06:28:10.915,0.0,4.07,0.0,14.54,18.62,19,6,1061,11808.0,3877.5,32.84,1.0,,9.389,7,0.1549
mc_20260807_0627_medium_000002,mc_20260807_0627_medium/task_0000,2,medium,2026-08-07T06:28:25.458,2026-08-07T06:28:43.384,2026-08-07T06:28:25.461,2026-08-07T06:28:29.704,2026-08-07T06:28:29.705,0.0,4.24,0.0,13.68,17.93,14,1,1117,11808.0,201.5,1.71,1.0,,9.29,7,0.1711
mc_20260807_0627_medium_000003,mc_20260807_0627_medium/task_0000,3,medium,2026-08-07T06:28:43.385,2026-08-07T06:29:04.859,2026-08-07T06:28:43.388,2026-08-07T06:28:47.160,2026-08-07T06:28:47.161,0.0,3.77,0.0,17.7,21.47,19,6,1190,11808.0,4233.0,35.85,1.0,,8.576,8,0.1722
mc_20260807_0627_medium_000004,mc_20260807_0627_medium/task_0000,4,medium,2026-08-07T06:29:04.860,2026-08-07T06:29:23.095,2026-08-07T06:29:04.863,2026-08-07T06:29:08.837,2026-08-07T06:29:08.837,0.0,3.97,0.0,14.26,18.23,17,4,1091,11808.0,2449.2,20.74,1.0,,8.739,8,0.1365
mc_20260807_0627_medium_000005,mc_20260807_0627_medium/task_0001,5,medium,2026-08-07T06:27:26.442,2026-08-07T06:27:48.063,2026-08-07T06:27:26.447,2026-08-07T06:27:29.206,2026-08-07T06:27:29.214,0.01,2.76,0.01,18.85,21.62,18,5,1055,11808.0,3858.8,32.68,1.0,,8.732,7,0.1531
mc_20260807_0627_medium_000006,mc_20260807_0627_medium/task_0001,6,medium,2026-08-07T06:27:48.068,2026-08-07T06:28:13.329,2026-08-07T06:27:48.073,2026-08-07T06:27:52.384,2026-08-07T06:27:52.385,0.01,4.31,0.0,20.94,25.26,16,3,1304,11806,1224.0,10.37,1.0,,9.888,7,0.1901
mc_20260807_0627_medium_000007,mc_20260807_0627_medium/task_0001,7,medium,2026-08-07T06:28:13.330,2026-08-07T06:28:34.611,2026-08-07T06:28:13.333,2026-08-07T06:28:17.826,2026-08-07T06:28:17.827,0.0,4.49,0.0,16.78,21.28,15,2,1221,11808.0,1495.0,12.66,1.0,,9.235,7,0.1438
mc_20260807_0627_medium_000008,mc_20260807_0627_medium/task_0001,8,medium,2026-08-07T06:28:34.612,2026-08-07T06:28:51.943,2026-08-07T06:28:34.614,2026-08-07T06:28:38.561,2026-08-07T06:28:38.561,0.0,3.95,0.0,13.38,17.33,20,7,1068,11808.0,2536.5,21.48,1.0,,8.719,8,0.1386
mc_20260807_0627_medium_000009,mc_20260807_0627_medium/task_0001,9,medium,2026-08-07T06:28:51.943,2026-08-07T06:29:11.040,2026-08-07T06:28:51.947,2026-08-07T06:28:55.377,2026-08-07T06:28:55.377,0.0,3.43,0.0,15.66,19.1,20,7,1131,11808.0,3343.5,28.32,1.0,,9.258,7,0.1723
