trial_id,run_id,seed,wake_model,dt_aep_s,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,full_cluster_aep_gwh,full_cluster_loss_pct
mc_20260807_0627_medium_000015,mc_20260807_0627_medium/task_0003,15,Nygaard_TurboGaussian,28.06,3060.859893111301,3014.6187589429874,1.511,2651.621825693819,13.37
mc_20260807_0627_medium_000015,mc_20260807_0627_medium/task_0003,15,SuperGaussian,4.19,3109.821723781434,3106.392593518043,0.11,2796.9635598473787,10.06
mc_20260807_0627_medium_000016,mc_20260807_0627_medium/task_0003,16,Nygaard_TurboGaussian,16.49,3254.654665675072,3193.9206833356084,1.866,2803.839412593352,13.851
mc_20260807_0627_medium_000016,mc_20260807_0627_medium/task_0003,16,SuperGaussian,4.22,3307.1364022857138,3302.8177674180724,0.131,2966.9745653030345,10.286
mc_20260807_0627_medium_000017,mc_20260807_0627_medium/task_0003,17,Nygaard_TurboGaussian,11.62,3358.791346353927,3285.2346715790445,2.19,2962.4086058448966,11.801
mc_20260807_0627_medium_000017,mc_20260807_0627_medium/task_0003,17,SuperGaussian,3.35,3415.0075954684426,3409.750178662257,0.154,3133.6429017965042,8.239
mc_20260807_0627_medium_000018,mc_20260807_0627_medium/task_0003,18,Nygaard_TurboGaussian,20.22,3188.5407430247233,3135.1204102755764,1.675,2728.220877034357,14.437
mc_20260807_0627_medium_000018,mc_20260807_0627_medium/task_0003,18,SuperGaussian,4.66,3240.424272178102,3236.524532074781,0.12,2884.7700721062333,10.976
mc_20260807_0627_medium_000019,mc_20260807_0627_medium/task_0003,19,Nygaard_TurboGaussian,7.44,3349.8493511430424,3276.3416909114203,2.194,2895.1583686593385,13.573
mc_20260807_0627_medium_000019,mc_20260807_0627_medium/task_0003,19,SuperGaussian,2.01,3405.217953469226,3399.924244621983,0.155,3065.7629994726212,9.969
