trial_id,run_id,seed,band_lo_km,band_hi_km,angle_deg,target_mw,delivered_mw,fraction_used,n_tries,success,template,turbine_attempted
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,30,45,0,806,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,75,90,0,132,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,60,75,150,30,30.0,1.0,1,True,staircase_10corners,DTU10MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,3,10,150,132,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,45,60,120,572,572.0,1.0,1,True,staircase_7corners,Haliade-X 13MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,45,60,150,780,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,3,10,120,715,0.0,0.0,160,False,,DTU10MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,110,130,150,1833,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,30,45,30,132,0.0,0.0,160,False,,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,90,110,270,572,572.0,1.0,2,True,staircase_10corners,Haliade-X 13MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,30,45,60,924,462.0,0.5,87,True,staircase_9corners,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,60,75,60,572,572.0,1.0,1,True,staircase_7corners,DTU10MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,110,130,0,924,693.0,0.75,46,True,staircase_9corners,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,75,90,210,806,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,20,30,180,924,0.0,0.0,160,False,,Haliade-X 13MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,130,150,270,924,924.0,1.0,5,True,staircase_7corners,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,75,90,0,30,0.0,0.0,40,False,,Haliade-X 15.5MW
mc_20260807_0627_medium_000025,mc_20260807_0627_medium/task_0005,25,3,10,90,30,0.0,0.0,40,False,,DTU10MW
