trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,SouthCoast Wind,True,72,Haliade-X 15.5MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Sunrise Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Revolution Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Vineyard Northeast,True,188,DTU10MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,New England Wind 1,True,64,DTU10MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,New England Wind 2 South,True,47,DTU10MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Beacon Wind,True,204,DTU10MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Bay State Wind South,True,135,Haliade-X 13MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Bay State Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Speculative_00,True,7,DTU10MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Speculative_01,True,72,Haliade-X 13MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Speculative_02,True,2,DTU10MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Speculative_03,True,11,Haliade-X 13MW
mc_20260807_0627_medium_000075,mc_20260807_0627_medium/task_0015,75,Speculative_04,True,13,DTU10MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,SouthCoast Wind,True,204,DTU10MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Sunrise Wind North,True,3,Haliade-X 13MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Revolution Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Vineyard Northeast,True,98,Haliade-X 13MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,New England Wind 1,True,33,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,New England Wind 2 South,True,55,DTU10MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Beacon Wind,True,84,Haliade-X 13MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Bay State Wind South,True,115,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Bay State Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_00,True,9,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_01,True,60,Haliade-X 13MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_02,True,136,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_03,True,12,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_04,True,2,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_05,True,92,DTU10MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_06,True,2,Haliade-X 15.5MW
mc_20260807_0627_medium_000076,mc_20260807_0627_medium/task_0015,76,Speculative_07,True,15,DTU10MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,SouthCoast Wind,True,143,DTU10MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Sunrise Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Revolution Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Vineyard Northeast,True,150,DTU10MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,New England Wind 1,True,55,Haliade-X 13MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,New England Wind 2 South,True,45,Haliade-X 13MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Beacon Wind,True,157,Haliade-X 13MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Bay State Wind South,True,121,Haliade-X 15.5MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Bay State Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_00,True,29,Haliade-X 15.5MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_01,True,104,DTU10MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_02,True,55,Haliade-X 13MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_03,True,79,DTU10MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_04,True,2,Haliade-X 13MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_05,True,66,Haliade-X 15.5MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_06,True,12,Haliade-X 15.5MW
mc_20260807_0627_medium_000077,mc_20260807_0627_medium/task_0015,77,Speculative_07,True,2,Haliade-X 15.5MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,SouthCoast Wind,True,84,Haliade-X 13MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Sunrise Wind North,True,5,DTU10MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Revolution Wind North,True,1,Haliade-X 13MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Vineyard Northeast,True,182,DTU10MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,New England Wind 1,True,47,Haliade-X 13MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,New England Wind 2 South,True,77,DTU10MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Beacon Wind,True,179,DTU10MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Bay State Wind South,True,92,Haliade-X 15.5MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Bay State Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Speculative_00,True,59,Haliade-X 13MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Speculative_01,True,72,DTU10MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Speculative_02,True,30,DTU10MW
mc_20260807_0627_medium_000078,mc_20260807_0627_medium/task_0015,78,Speculative_03,True,141,Haliade-X 13MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,SouthCoast Wind,True,91,Haliade-X 13MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Sunrise Wind North,True,5,DTU10MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Revolution Wind North,True,0,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Vineyard Northeast,True,257,DTU10MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,New England Wind 1,True,30,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,New England Wind 2 South,True,44,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Beacon Wind,True,69,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Bay State Wind South,True,86,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Bay State Wind North,True,1,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Speculative_00,True,7,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Speculative_01,True,50,Haliade-X 15.5MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Speculative_02,True,77,Haliade-X 13MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Speculative_03,True,4,Haliade-X 13MW
mc_20260807_0627_medium_000079,mc_20260807_0627_medium/task_0015,79,Speculative_04,True,7,Haliade-X 13MW
