trial_id,run_id,seed,tier,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,0,0.0,3.922,3.922,0,8163.296982410244,7266.07661089266,7266.07661089266,10.991
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,1,3.922,7.045,3.122,1,8163.296982410244,7266.07661089266,7266.057227473887,10.991
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,2,7.045,9.446,2.401,2,8163.296982410244,7266.07661089266,7257.67494210388,11.094
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,3,9.446,10.641,1.195,3,8163.296982410244,7266.07661089266,7236.60997961892,11.352
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,4,10.641,10.665,0.024,4,8163.296982410244,7266.07661089266,7236.3121846354625,11.356
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,5,10.665,11.43,0.765,5,8163.296982410244,7266.07661089266,7233.601154459899,11.389
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,6,11.43,19.674,8.244,6,8163.296982410244,7266.07661089266,7214.323442736222,11.625
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,7,19.674,19.741,0.067,7,8163.296982410244,7266.07661089266,7212.472153958141,11.648
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,8,19.741,19.88,0.14,8,8163.296982410244,7266.07661089266,7212.430648222096,11.648
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,9,19.88,22.13,2.25,9,8163.296982410244,7266.07661089266,7211.352705706055,11.661
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,10,22.13,22.593,0.463,10,8163.296982410244,7266.07661089266,7206.031631986653,11.726
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,11,22.593,24.168,1.575,11,8163.296982410244,7266.07661089266,7205.819952183587,11.729
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,12,24.168,24.741,0.573,12,8163.296982410244,7266.07661089266,7197.7983358454585,11.827
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Nygaard_TurboGaussian,13,24.741,25.0,0.259,13,8163.296982410244,7266.07661089266,7191.76239722636,11.901
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,0,0.0,3.922,3.922,0,8461.507499009205,7650.259826903893,7650.259826903893,9.588
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,1,3.922,7.045,3.122,1,8461.507499009205,7650.259826903893,7650.210278162214,9.588
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,2,7.045,9.446,2.401,2,8461.507499009205,7650.259826903893,7648.0661186445395,9.613
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,3,9.446,10.641,1.195,3,8461.507499009205,7650.259826903893,7640.097011884633,9.708
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,4,10.641,10.665,0.024,4,8461.507499009205,7650.259826903893,7639.813843863624,9.711
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,5,10.665,11.43,0.765,5,8461.507499009205,7650.259826903893,7637.774044570787,9.735
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,6,11.43,19.674,8.244,6,8461.507499009205,7650.259826903893,7622.371676842069,9.917
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,7,19.674,19.741,0.067,7,8461.507499009205,7650.259826903893,7624.205276525706,9.895
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,8,19.741,19.88,0.14,8,8461.507499009205,7650.259826903893,7624.1365577259985,9.896
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,9,19.88,22.13,2.25,9,8461.507499009205,7650.259826903893,7623.259106912454,9.907
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,10,22.13,22.593,0.463,10,8461.507499009205,7650.259826903893,7617.181289752806,9.978
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,11,22.593,24.168,1.575,11,8461.507499009205,7650.259826903893,7616.588161631924,9.985
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,12,24.168,24.741,0.573,12,8461.507499009205,7650.259826903893,7607.416391020709,10.094
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,SuperGaussian,13,24.741,25.0,0.259,13,8461.507499009205,7650.259826903893,7601.660582422428,10.162
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,0,0.0,3.922,3.922,0,8936.841186576923,8389.63424278067,8389.63424278067,6.123
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,1,3.922,7.045,3.122,1,8936.841186576923,8389.63424278067,8389.584328277746,6.124
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,2,7.045,9.446,2.401,2,8936.841186576923,8389.63424278067,8384.945038809434,6.176
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,3,9.446,10.641,1.195,3,8936.841186576923,8389.63424278067,8378.59515264842,6.247
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,4,10.641,10.665,0.024,4,8936.841186576923,8389.63424278067,8378.316532347077,6.25
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,5,10.665,11.43,0.765,5,8936.841186576923,8389.63424278067,8377.349326968048,6.261
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,6,11.43,19.674,8.244,6,8936.841186576923,8389.63424278067,8369.47823911316,6.349
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,7,19.674,19.741,0.067,7,8936.841186576923,8389.63424278067,8368.9557094923,6.354
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,8,19.741,19.88,0.14,8,8936.841186576923,8389.63424278067,8368.911535296947,6.355
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,9,19.88,22.13,2.25,9,8936.841186576923,8389.63424278067,8368.431964023855,6.36
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,10,22.13,22.593,0.463,10,8936.841186576923,8389.63424278067,8364.444465849332,6.405
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,11,22.593,24.168,1.575,11,8936.841186576923,8389.63424278067,8364.071397376143,6.409
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,12,24.168,24.741,0.573,12,8936.841186576923,8389.63424278067,8360.24260704827,6.452
mc_v2_20260811_high_000075,mc_v2_20260811_high/task_0015,75,high,Bastankhah_PorteAgel_2014,13,24.741,25.0,0.259,13,8936.841186576923,8389.63424278067,8356.848000038455,6.49
mc_v2_20260811_high_000076,mc_v2_20260811_high/task_0015,76,high,Nygaard_TurboGaussian,0,0.0,4.859,4.859,0,8430.772713687842,7505.18169562166,7505.18169562166,10.979
