trial_id,run_id,seed,tier,target_mw,delivered_mw,fraction_used,n_tries,success,band,angle,template,turbine,arrival_year
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,806.0,0.0,0.0,160,False,"(10, 20)",120,,Haliade-X 15.5MW,0.447
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,1833.0,0.0,0.0,160,False,"(90, 105)",210,,Haliade-X 15.5MW,0.948
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,1833.0,0.0,0.0,160,False,"(45, 60)",210,,SG11.0-200DD,1.208
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,30.0,30.0,1.0,3,True,"(90, 105)",330,staircase_10corners,SG11.0-200DD,1.493
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,924.0,0.0,0.0,160,False,"(30, 45)",210,,SG11.0-200DD,1.708
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,1833.0,0.0,0.0,160,False,"(105, 120)",150,,SG11.0-200DD,1.842
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,572.0,0.0,0.0,160,False,"(3, 10)",0,,SG11.0-200DD,2.191
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,30.0,0.0,0.0,40,False,"(45, 60)",240,,Haliade-X 15.5MW,2.302
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,715.0,0.0,0.0,160,False,"(75, 90)",210,,IEA 2200-22MW,3.558
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,715.0,0.0,0.0,160,False,"(20, 30)",240,,IEA 2200-22MW,3.791
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,1833.0,0.0,0.0,160,False,"(60, 75)",240,,Haliade-X 13MW,4.112
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,2080.0,2080.0,1.0,1,True,"(75, 90)",60,staircase_10corners,SG11.0-200DD,4.174
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,1833.0,0.0,0.0,160,False,"(60, 75)",330,,Haliade-X 13MW,4.707
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,715.0,0.0,0.0,160,False,"(3, 10)",150,,Haliade-X 13MW,5.383
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,2080.0,0.0,0.0,160,False,"(60, 75)",150,,Haliade-X 13MW,5.909
mc_v2_20260811_high_000080,mc_v2_20260811_high/task_0016,80,high,132.0,0.0,0.0,160,False,"(105, 120)",210,,IEA 2200-22MW,6.045
