trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_high_000115,mc_v2_20260811_high/task_0023,115,high,Nygaard_TurboGaussian,7414.558729577348,6616.801752912253,10.759,6550.66,11.651,20
mc_v2_20260811_high_000115,mc_v2_20260811_high/task_0023,115,high,SuperGaussian,7581.279573144675,6815.370300649637,10.103,6748.79,10.981,20
mc_v2_20260811_high_000115,mc_v2_20260811_high/task_0023,115,high,Bastankhah_PorteAgel_2014,7940.679300672098,7434.615772454228,6.373,7394.63,6.877,20
mc_v2_20260811_high_000116,mc_v2_20260811_high/task_0023,116,high,Nygaard_TurboGaussian,7983.1779238186045,7089.127143215434,11.199,7036.98,11.852,18
mc_v2_20260811_high_000116,mc_v2_20260811_high/task_0023,116,high,SuperGaussian,8227.002322086963,7416.021316522756,9.858,7370.01,10.417,18
mc_v2_20260811_high_000116,mc_v2_20260811_high/task_0023,116,high,Bastankhah_PorteAgel_2014,8672.195760810519,8132.569158303081,6.222,8105.61,6.533,18
mc_v2_20260811_high_000117,mc_v2_20260811_high/task_0023,117,high,Nygaard_TurboGaussian,8536.495592655432,7622.951138720398,10.702,7543.72,11.63,21
mc_v2_20260811_high_000117,mc_v2_20260811_high/task_0023,117,high,SuperGaussian,8829.972401385752,8025.036935073647,9.116,7949.96,9.966,21
mc_v2_20260811_high_000117,mc_v2_20260811_high/task_0023,117,high,Bastankhah_PorteAgel_2014,9304.518322465368,8760.191265946441,5.85,8719.05,6.292,21
mc_v2_20260811_high_000118,mc_v2_20260811_high/task_0023,118,high,Nygaard_TurboGaussian,8109.817603256193,7063.843058638569,12.898,7026.49,13.358,15
mc_v2_20260811_high_000118,mc_v2_20260811_high/task_0023,118,high,SuperGaussian,8283.427767142994,7429.7639196716955,10.306,7399.76,10.668,15
mc_v2_20260811_high_000118,mc_v2_20260811_high/task_0023,118,high,Bastankhah_PorteAgel_2014,8681.413360173092,8089.363312587104,6.82,8071.31,7.028,15
mc_v2_20260811_high_000119,mc_v2_20260811_high/task_0023,119,high,Nygaard_TurboGaussian,8704.518618368202,7799.248177231204,10.4,7754.19,10.918,16
mc_v2_20260811_high_000119,mc_v2_20260811_high/task_0023,119,high,SuperGaussian,9008.028458590434,8157.436930608084,9.443,8113.34,9.932,16
mc_v2_20260811_high_000119,mc_v2_20260811_high/task_0023,119,high,Bastankhah_PorteAgel_2014,9499.114980737417,8934.170951452897,5.947,8906.44,6.239,16
