trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Sunrise Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Revolution Wind North,True,1,SG11.0-200DD
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Vineyard Northeast,True,142,Haliade-X 15.5MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,New England Wind 1,True,39,IEA 2200-22MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,New England Wind 2 South,True,78,SG11.0-200DD
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Beacon Wind,True,173,Haliade-X 13MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Bay State Wind South,True,140,Haliade-X 15.5MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Bay State Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,SouthCoast Wind,True,203,SG11.0-200DD
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Speculative_00,True,22,IEA 2200-22MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Speculative_01,True,35,Haliade-X 13MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Speculative_02,True,21,Haliade-X 15.5MW
mc_v2_20260811_high_000130,mc_v2_20260811_high/task_0026,130,Speculative_03,True,106,Haliade-X 13MW
