trial_id,run_id,seed,tier,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Nygaard_TurboGaussian,0,0.0,0.409,0.409,0,8071.483031425984,7268.58263454639,7268.58263454639,9.947
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Nygaard_TurboGaussian,1,0.409,1.051,0.643,1,8071.483031425984,7268.58263454639,7266.24385255189,9.976
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Nygaard_TurboGaussian,2,1.051,19.228,18.177,2,8071.483031425984,7268.58263454639,7266.175629374503,9.977
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Nygaard_TurboGaussian,3,19.228,24.167,4.939,3,8071.483031425984,7268.58263454639,7266.175629374503,9.977
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Nygaard_TurboGaussian,4,24.167,25.0,0.833,4,8071.483031425984,7268.58263454639,7259.890074048299,10.055
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,SuperGaussian,0,0.0,0.409,0.409,0,8175.945589938872,7369.760169545783,7369.760169545783,9.86
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,SuperGaussian,1,0.409,1.051,0.643,1,8175.945589938872,7369.760169545783,7368.564215005166,9.875
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,SuperGaussian,2,1.051,19.228,18.177,2,8175.945589938872,7369.760169545783,7367.406968290907,9.889
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,SuperGaussian,3,19.228,24.167,4.939,3,8175.945589938872,7369.760169545783,7367.406968289781,9.889
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,SuperGaussian,4,24.167,25.0,0.833,4,8175.945589938872,7369.760169545783,7358.206033152765,10.002
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Bastankhah_PorteAgel_2014,0,0.0,0.409,0.409,0,8544.135080554519,7996.00953733824,7996.00953733824,6.415
mc_v2_20260811_low_000020,mc_v2_20260811_low/task_0004,20,low,Bastankhah_PorteAgel_2014,1,0.409,1.051,0.643,1,8544.135080554519,7996.00953733824,7995.5971107951955,6.42
