trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Sunrise Wind North,True,3,SG11.0-200DD
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Revolution Wind North,True,1,IEA 2200-22MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Vineyard Northeast,True,172,Haliade-X 13MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,New England Wind 1,True,39,IEA 2200-22MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,New England Wind 2 South,True,78,SG11.0-200DD
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Beacon Wind,True,204,SG11.0-200DD
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Bay State Wind South,True,114,IEA 2200-22MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Bay State Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,SouthCoast Wind,True,164,Haliade-X 13MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Speculative_00,True,1,Haliade-X 15.5MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Speculative_01,True,63,IEA 2200-22MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Speculative_02,True,41,Haliade-X 13MW
mc_v2_20260811_low_000085,mc_v2_20260811_low/task_0017,85,Speculative_03,True,2,Haliade-X 13MW
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Sunrise Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Revolution Wind North,True,1,Haliade-X 13MW
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Vineyard Northeast,True,142,Haliade-X 15.5MW
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,New England Wind 1,True,39,IEA 2200-22MW
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,New England Wind 2 South,True,78,SG11.0-200DD
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Beacon Wind,True,128,Haliade-X 15.5MW
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Bay State Wind South,True,222,SG11.0-200DD
mc_v2_20260811_low_000086,mc_v2_20260811_low/task_0017,86,Bay State Wind North,True,1,IEA 2200-22MW
