trial_id,run_id,seed,tier,target_mw,delivered_mw,fraction_used,n_tries,success,band,angle,template,turbine,arrival_year
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,30.0,30.0,1.0,3,True,"(20, 30)",30,staircase_6corners,Haliade-X 13MW,0.348
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,132.0,0.0,0.0,160,False,"(105, 120)",120,,SG11.0-200DD,2.158
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,30.0,0.0,0.0,40,False,"(3, 10)",180,,Haliade-X 13MW,4.569
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,715.0,357.5,0.5,81,True,"(75, 90)",330,staircase_6corners,Haliade-X 13MW,6.771
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,132.0,0.0,0.0,160,False,"(75, 90)",120,,IEA 2200-22MW,7.888
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,924.0,0.0,0.0,160,False,"(20, 30)",300,,IEA 2200-22MW,8.453
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,1833.0,1833.0,1.0,1,True,"(60, 75)",60,staircase_9corners,IEA 2200-22MW,10.036
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,572.0,572.0,1.0,18,True,"(45, 60)",330,staircase_7corners,IEA 2200-22MW,12.899
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,924.0,0.0,0.0,160,False,"(3, 10)",120,,IEA 2200-22MW,19.768
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,924.0,462.0,0.5,81,True,"(45, 60)",0,staircase_6corners,Haliade-X 15.5MW,20.11
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,2080.0,2080.0,1.0,29,True,"(30, 45)",90,staircase_10corners,Haliade-X 13MW,22.1
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,2080.0,520.0,0.25,123,True,"(105, 120)",90,staircase_6corners,Haliade-X 15.5MW,22.899
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,132.0,132.0,1.0,1,True,"(105, 120)",270,staircase_7corners,Haliade-X 15.5MW,23.828
mc_v2_20260811_low_000120,mc_v2_20260811_low/task_0024,120,low,924.0,0.0,0.0,160,False,"(75, 90)",240,,Haliade-X 15.5MW,24.563
mc_v2_20260811_low_000121,mc_v2_20260811_low/task_0024,121,low,572.0,572.0,1.0,2,True,"(60, 75)",270,staircase_9corners,Haliade-X 15.5MW,2.136
mc_v2_20260811_low_000121,mc_v2_20260811_low/task_0024,121,low,780.0,0.0,0.0,160,False,"(60, 75)",180,,Haliade-X 15.5MW,2.207
mc_v2_20260811_low_000121,mc_v2_20260811_low/task_0024,121,low,780.0,0.0,0.0,160,False,"(105, 120)",0,,Haliade-X 13MW,6.84
mc_v2_20260811_low_000121,mc_v2_20260811_low/task_0024,121,low,30.0,30.0,1.0,1,True,"(105, 120)",60,staircase_10corners,Haliade-X 13MW,7.722
mc_v2_20260811_low_000121,mc_v2_20260811_low/task_0024,121,low,132.0,132.0,1.0,1,True,"(75, 90)",30,staircase_8corners,Haliade-X 15.5MW,20.3
mc_v2_20260811_low_000121,mc_v2_20260811_low/task_0024,121,low,2080.0,0.0,0.0,160,False,"(75, 90)",0,,Haliade-X 13MW,22.894
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,806.0,0.0,0.0,160,False,"(20, 30)",150,,Haliade-X 15.5MW,0.334
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,715.0,0.0,0.0,160,False,"(75, 90)",150,,Haliade-X 15.5MW,0.541
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,780.0,780.0,1.0,3,True,"(75, 90)",90,staircase_7corners,IEA 2200-22MW,5.637
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,572.0,0.0,0.0,160,False,"(3, 10)",90,,SG11.0-200DD,10.582
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,2080.0,2080.0,1.0,1,True,"(90, 105)",60,staircase_6corners,SG11.0-200DD,11.371
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,924.0,0.0,0.0,160,False,"(3, 10)",120,,Haliade-X 15.5MW,16.292
mc_v2_20260811_low_000122,mc_v2_20260811_low/task_0024,122,low,2080.0,0.0,0.0,160,False,"(20, 30)",330,,IEA 2200-22MW,17.634
mc_v2_20260811_low_000123,mc_v2_20260811_low/task_0024,123,low,572.0,0.0,0.0,160,False,"(90, 105)",150,,Haliade-X 15.5MW,1.008
mc_v2_20260811_low_000123,mc_v2_20260811_low/task_0024,123,low,132.0,33.0,0.25,130,True,"(45, 60)",300,staircase_8corners,Haliade-X 15.5MW,1.562
mc_v2_20260811_low_000123,mc_v2_20260811_low/task_0024,123,low,30.0,0.0,0.0,40,False,"(90, 105)",330,,Haliade-X 13MW,2.318
