trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_low_000145,mc_v2_20260811_low/task_0029,145,low,Nygaard_TurboGaussian,8323.496764044501,7412.928324016116,10.94,7353.19,11.657,7
mc_v2_20260811_low_000145,mc_v2_20260811_low/task_0029,145,low,SuperGaussian,8609.791897863284,7800.727511389307,9.397,7752.64,9.956,7
mc_v2_20260811_low_000145,mc_v2_20260811_low/task_0029,145,low,Bastankhah_PorteAgel_2014,9075.01649159793,8533.329336121787,5.969,8504.81,6.283,7
mc_v2_20260811_low_000146,mc_v2_20260811_low/task_0029,146,low,Nygaard_TurboGaussian,7931.262064841481,7043.23695639996,11.197,6995.43,11.799,8
mc_v2_20260811_low_000146,mc_v2_20260811_low/task_0029,146,low,SuperGaussian,8242.57742258039,7402.104381099584,10.197,7360.49,10.702,8
mc_v2_20260811_low_000146,mc_v2_20260811_low/task_0029,146,low,Bastankhah_PorteAgel_2014,8741.712542549598,8169.450878172633,6.546,8146.03,6.814,8
mc_v2_20260811_low_000147,mc_v2_20260811_low/task_0029,147,low,Nygaard_TurboGaussian,8106.122517481655,7313.552945808317,9.777,7253.71,10.516,5
mc_v2_20260811_low_000147,mc_v2_20260811_low/task_0029,147,low,SuperGaussian,8399.503991913805,7613.07953899084,9.363,7566.46,9.918,5
mc_v2_20260811_low_000147,mc_v2_20260811_low/task_0029,147,low,Bastankhah_PorteAgel_2014,8869.381721446443,8335.956700757994,6.014,8305.3,6.36,5
mc_v2_20260811_low_000148,mc_v2_20260811_low/task_0029,148,low,Nygaard_TurboGaussian,7097.814944552612,6226.620174684676,12.274,6225.69,12.287,3
mc_v2_20260811_low_000148,mc_v2_20260811_low/task_0029,148,low,SuperGaussian,7414.586999066682,6615.433121072229,10.778,6615.32,10.78,3
mc_v2_20260811_low_000148,mc_v2_20260811_low/task_0029,148,low,Bastankhah_PorteAgel_2014,7906.939390851957,7350.2901226316235,7.04,7350.01,7.044,3
mc_v2_20260811_low_000149,mc_v2_20260811_low/task_0029,149,low,Nygaard_TurboGaussian,8462.47000948513,7560.825472292332,10.655,7536.75,10.939,7
mc_v2_20260811_low_000149,mc_v2_20260811_low/task_0029,149,low,SuperGaussian,8758.792949010081,7842.727384159928,10.459,7825.78,10.652,7
mc_v2_20260811_low_000149,mc_v2_20260811_low/task_0029,149,low,Bastankhah_PorteAgel_2014,9240.087938929497,8631.771932716336,6.583,8617.73,6.735,7
