trial_id,run_id,seed,tier,wake_model,isolated_aep_gwh,real_neighbors_aep_gwh,real_neighbors_loss_pct,time_weighted_aep_gwh,time_weighted_loss_pct,n_segments
mc_v2_20260811_medium_000020,mc_v2_20260811_medium/task_0004,20,medium,Nygaard_TurboGaussian,8071.483031425984,7268.58263454639,9.947,7262.53,10.022,5
mc_v2_20260811_medium_000020,mc_v2_20260811_medium/task_0004,20,medium,SuperGaussian,8175.945589938872,7369.760169545783,9.86,7365.4,9.914,5
mc_v2_20260811_medium_000020,mc_v2_20260811_medium/task_0004,20,medium,Bastankhah_PorteAgel_2014,8544.135080554519,7996.00953733824,6.415,7993.29,6.447,5
mc_v2_20260811_medium_000021,mc_v2_20260811_medium/task_0004,21,medium,Nygaard_TurboGaussian,8382.569409014652,7519.137621760823,10.3,7497.6,10.557,9
mc_v2_20260811_medium_000021,mc_v2_20260811_medium/task_0004,21,medium,SuperGaussian,8619.604945428113,7825.895794695236,9.208,7805.5,9.445,9
mc_v2_20260811_medium_000021,mc_v2_20260811_medium/task_0004,21,medium,Bastankhah_PorteAgel_2014,9064.014871937046,8537.003375186385,5.814,8524.22,5.955,9
mc_v2_20260811_medium_000022,mc_v2_20260811_medium/task_0004,22,medium,Nygaard_TurboGaussian,7651.065837522038,6905.515998062754,9.744,6900.43,9.811,6
mc_v2_20260811_medium_000022,mc_v2_20260811_medium/task_0004,22,medium,SuperGaussian,7806.0859850684155,7129.506008387707,8.667,7128.1,8.685,6
mc_v2_20260811_medium_000022,mc_v2_20260811_medium/task_0004,22,medium,Bastankhah_PorteAgel_2014,8155.325078745259,7706.883351075758,5.499,7701.37,5.566,6
mc_v2_20260811_medium_000023,mc_v2_20260811_medium/task_0004,23,medium,Nygaard_TurboGaussian,8571.586161705132,7608.735415718813,11.233,7605.24,11.274,5
mc_v2_20260811_medium_000023,mc_v2_20260811_medium/task_0004,23,medium,SuperGaussian,8809.754618250541,7904.532308741403,10.275,7899.93,10.327,5
mc_v2_20260811_medium_000023,mc_v2_20260811_medium/task_0004,23,medium,Bastankhah_PorteAgel_2014,9256.725981638087,8683.871151864534,6.189,8681.94,6.209,5
mc_v2_20260811_medium_000024,mc_v2_20260811_medium/task_0004,24,medium,Nygaard_TurboGaussian,8418.930892851247,7551.073069135505,10.308,7530.83,10.549,10
mc_v2_20260811_medium_000024,mc_v2_20260811_medium/task_0004,24,medium,SuperGaussian,8734.530381874625,7891.2770049350565,9.654,7866.84,9.934,10
mc_v2_20260811_medium_000024,mc_v2_20260811_medium/task_0004,24,medium,Bastankhah_PorteAgel_2014,9249.349130661556,8679.517814073333,6.161,8663.26,6.337,10
