trial_id,run_id,seed,tier,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,0,0.0,0.489,0.489,0,7882.3868265309375,7003.484805161862,7003.484805161862,11.15
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,1,0.489,0.819,0.33,1,7882.3868265309375,7003.484805161862,6998.264732611693,11.216
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,2,0.819,6.933,6.114,2,7882.3868265309375,7003.484805161862,6998.140953060012,11.218
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,3,6.933,7.309,0.376,3,7882.3868265309375,7003.484805161862,6997.93848185015,11.221
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,4,7.309,7.447,0.137,4,7882.3868265309375,7003.484805161862,6990.410953150351,11.316
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,5,7.447,8.043,0.596,5,7882.3868265309375,7003.484805161862,6990.330813897001,11.317
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,6,8.043,8.626,0.583,6,7882.3868265309375,7003.484805161862,6947.648210741734,11.859
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,7,8.626,10.359,1.733,7,7882.3868265309375,7003.484805161862,6947.606171313326,11.859
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,8,10.359,14.366,4.008,8,7882.3868265309375,7003.484805161862,6944.799307027122,11.895
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,9,14.366,17.199,2.832,9,7882.3868265309375,7003.484805161862,6937.430056834581,11.988
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,10,17.199,17.685,0.486,10,7882.3868265309375,7003.484805161862,6936.861273731443,11.995
mc_v2_20260811_medium_000045,mc_v2_20260811_medium/task_0009,45,medium,Nygaard_TurboGaussian,11,17.685,25.0,7.315,11,7882.3868265309375,7003.484805161862,6936.861273731443,11.995
