trial_id,run_id,seed,tier,target_mw,delivered_mw,fraction_used,n_tries,success,band,angle,template,turbine,arrival_year
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,806.0,0.0,0.0,160,False,"(3, 10)",240,,IEA 2200-22MW,0.797
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,132.0,132.0,1.0,2,True,"(105, 120)",60,staircase_8corners,SG11.0-200DD,0.847
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,924.0,231.0,0.25,140,True,"(75, 90)",330,staircase_8corners,IEA 2200-22MW,1.092
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,780.0,780.0,1.0,1,True,"(45, 60)",90,staircase_7corners,IEA 2200-22MW,2.3
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,806.0,0.0,0.0,160,False,"(30, 45)",120,,Haliade-X 13MW,2.544
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,572.0,0.0,0.0,160,False,"(30, 45)",210,,Haliade-X 13MW,3.936
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,780.0,780.0,1.0,1,True,"(75, 90)",270,staircase_9corners,Haliade-X 13MW,5.91
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,1833.0,0.0,0.0,160,False,"(75, 90)",180,,SG11.0-200DD,7.06
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,572.0,0.0,0.0,160,False,"(75, 90)",150,,SG11.0-200DD,7.415
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,2080.0,520.0,0.25,136,True,"(45, 60)",90,staircase_9corners,SG11.0-200DD,9.118
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,132.0,0.0,0.0,160,False,"(60, 75)",0,,IEA 2200-22MW,9.536
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,924.0,0.0,0.0,160,False,"(20, 30)",210,,SG11.0-200DD,10.841
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,2080.0,0.0,0.0,160,False,"(105, 120)",330,,Haliade-X 15.5MW,13.275
mc_v2_20260811_medium_000095,mc_v2_20260811_medium/task_0019,95,medium,715.0,0.0,0.0,160,False,"(45, 60)",120,,IEA 2200-22MW,14.827
