trial_id,run_id,seed,farm_name,is_synthetic,n_turbines,turbine_used
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Sunrise Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Revolution Wind North,True,1,IEA 2200-22MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Vineyard Northeast,True,172,Haliade-X 13MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,New England Wind 1,True,66,Haliade-X 13MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,New England Wind 2 South,True,45,Haliade-X 15.5MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Beacon Wind,True,204,SG11.0-200DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Bay State Wind South,True,114,IEA 2200-22MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Bay State Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,SouthCoast Wind,True,127,Haliade-X 15.5MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_00,True,38,Haliade-X 15.5MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_01,True,82,SG11.0-200DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_02,True,8,Haliade-X 15.5MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_03,True,17,SG11.0-200DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_04,True,17,IEA 2200-22MW
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_05,True,11,SG11.0-200DD
mc_v2_20260811_medium_000125,mc_v2_20260811_medium/task_0025,125,Speculative_06,True,26,Haliade-X 15.5MW
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Vineyard Wind,False,62,GE Haliade-X 13MW  (Vineyard 1)
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Revolution Wind,False,65,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,South Fork Wind,False,12,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Sunrise Wind South,False,96,Siemens Gamesa SG 11.0-200 DD
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Sunrise Wind North,True,3,Haliade-X 13MW
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Revolution Wind North,True,1,SG11.0-200DD
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Vineyard Northeast,True,205,SG11.0-200DD
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,New England Wind 1,True,66,Haliade-X 13MW
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,New England Wind 2 South,True,45,Haliade-X 15.5MW
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Beacon Wind,True,204,SG11.0-200DD
mc_v2_20260811_medium_000126,mc_v2_20260811_medium/task_0025,126,Bay State Wind South,True,140,Haliade-X 15.5MW
