trial_id,run_id,seed,wake_model,segment_idx,start_year,end_year,duration_years,n_active_new_farms,isolated_aep_gwh,real_neighbors_aep_gwh,full_cluster_aep_gwh,full_cluster_loss_pct
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,0,0.0,0.037,0.037,0,8375.162866325001,7477.5869976571375,7477.5869976571375,10.717
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,1,0.037,2.55,2.512,1,8375.162866325001,7477.5869976571375,7471.973700227987,10.784
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,2,2.55,3.103,0.553,2,8375.162866325001,7477.5869976571375,7469.784442431079,10.81
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,3,3.103,4.695,1.592,3,8375.162866325001,7477.5869976571375,7468.48302959962,10.826
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,4,4.695,5.691,0.996,4,8375.162866325001,7477.5869976571375,7455.393723647946,10.982
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,5,5.691,7.074,1.383,5,8375.162866325001,7477.5869976571375,7400.015212354825,11.643
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,6,7.074,7.621,0.547,6,8375.162866325001,7477.5869976571375,7383.912442990701,11.836
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,7,7.621,12.335,4.714,7,8375.162866325001,7477.5869976571375,7381.378297383335,11.866
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,8,12.335,13.519,1.184,8,8375.162866325001,7477.5869976571375,7379.459321945463,11.889
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,9,13.519,13.92,0.401,9,8375.162866325001,7477.5869976571375,7377.594904630463,11.911
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,10,13.92,16.061,2.141,10,8375.162866325001,7477.5869976571375,7377.5880914169065,11.911
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,11,16.061,17.141,1.08,11,8375.162866325001,7477.5869976571375,7377.588091415288,11.911
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,12,17.141,17.313,0.173,12,8375.162866325001,7477.5869976571375,7374.8373015519755,11.944
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,13,17.313,19.377,2.064,13,8375.162866325001,7477.5869976571375,7327.216856250873,12.513
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,14,19.377,22.414,3.037,14,8375.162866325001,7477.5869976571375,7318.438676099218,12.617
shakedown001_000002,shakedown001/task_0001,2,Nygaard_TurboGaussian,15,22.414,25.0,2.586,15,8375.162866325001,7477.5869976571375,7312.4484617952385,12.689
shakedown001_000002,shakedown001/task_0001,2,SuperGaussian,0,0.0,0.037,0.037,0,8476.851940659766,7683.558113887584,7683.558113887584,9.358
shakedown001_000002,shakedown001/task_0001,2,SuperGaussian,1,0.037,2.55,2.512,1,8476.851940659766,7683.558113887584,7676.048637629464,9.447
shakedown001_000002,shakedown001/task_0001,2,SuperGaussian,2,2.55,3.103,0.553,2,8476.851940659766,7683.558113887584,7675.2442840196545,9.456
shakedown001_000002,shakedown001/task_0001,2,SuperGaussian,3,3.103,4.695,1.592,3,8476.851940659766,7683.558113887584,7673.460854165602,9.477
shakedown001_000002,shakedown001/task_0001,2,SuperGaussian,4,4.695,5.691,0.996,4,8476.851940659766,7683.558113887584,7670.338349438435,9.514
