trial_id,run_id,seed,tier,target_mw,delivered_mw,fraction_used,n_tries,success,band,angle,template,turbine,arrival_year
shakedown001_000008,shakedown001/task_0004,8,high,806.0,806.0,1.0,1,True,"(105, 120)",270,staircase_9corners,SG11.0-200DD,0.412
shakedown001_000008,shakedown001/task_0004,8,high,132.0,0.0,0.0,160,False,"(10, 20)",30,,SG11.0-200DD,1.943
shakedown001_000008,shakedown001/task_0004,8,high,2080.0,0.0,0.0,160,False,"(90, 105)",240,,SG11.0-200DD,2.425
shakedown001_000008,shakedown001/task_0004,8,high,780.0,0.0,0.0,160,False,"(105, 120)",210,,Haliade-X 15.5MW,2.448
shakedown001_000008,shakedown001/task_0004,8,high,30.0,0.0,0.0,40,False,"(20, 30)",120,,SG11.0-200DD,2.727
shakedown001_000008,shakedown001/task_0004,8,high,715.0,715.0,1.0,4,True,"(90, 105)",270,staircase_6corners,Haliade-X 13MW,2.984
shakedown001_000008,shakedown001/task_0004,8,high,924.0,0.0,0.0,160,False,"(30, 45)",330,,IEA 2200-22MW,2.99
shakedown001_000008,shakedown001/task_0004,8,high,715.0,536.25,0.75,49,True,"(75, 90)",0,staircase_9corners,SG11.0-200DD,3.321
shakedown001_000008,shakedown001/task_0004,8,high,132.0,0.0,0.0,160,False,"(60, 75)",120,,SG11.0-200DD,3.452
shakedown001_000008,shakedown001/task_0004,8,high,780.0,0.0,0.0,160,False,"(20, 30)",120,,IEA 2200-22MW,3.525
shakedown001_000008,shakedown001/task_0004,8,high,715.0,0.0,0.0,160,False,"(10, 20)",90,,Haliade-X 15.5MW,4.292
shakedown001_000008,shakedown001/task_0004,8,high,1833.0,0.0,0.0,160,False,"(10, 20)",210,,SG11.0-200DD,4.756
shakedown001_000008,shakedown001/task_0004,8,high,780.0,390.0,0.5,87,True,"(105, 120)",90,staircase_7corners,Haliade-X 13MW,5.426
shakedown001_000008,shakedown001/task_0004,8,high,2080.0,2080.0,1.0,11,True,"(30, 45)",90,staircase_6corners,Haliade-X 15.5MW,5.53
shakedown001_000008,shakedown001/task_0004,8,high,132.0,0.0,0.0,160,False,"(3, 10)",330,,SG11.0-200DD,5.68
shakedown001_000008,shakedown001/task_0004,8,high,1833.0,0.0,0.0,160,False,"(90, 105)",0,,SG11.0-200DD,5.884
shakedown001_000008,shakedown001/task_0004,8,high,132.0,0.0,0.0,160,False,"(45, 60)",150,,SG11.0-200DD,5.987
shakedown001_000008,shakedown001/task_0004,8,high,715.0,0.0,0.0,160,False,"(105, 120)",90,,IEA 2200-22MW,6.336
shakedown001_000008,shakedown001/task_0004,8,high,715.0,0.0,0.0,160,False,"(45, 60)",150,,Haliade-X 15.5MW,6.804
shakedown001_000008,shakedown001/task_0004,8,high,1833.0,0.0,0.0,160,False,"(20, 30)",270,,SG11.0-200DD,8.233
shakedown001_000008,shakedown001/task_0004,8,high,924.0,924.0,1.0,10,True,"(90, 105)",90,staircase_7corners,IEA 2200-22MW,8.941
shakedown001_000008,shakedown001/task_0004,8,high,924.0,231.0,0.25,133,True,"(20, 30)",30,staircase_7corners,SG11.0-200DD,8.984
shakedown001_000008,shakedown001/task_0004,8,high,572.0,0.0,0.0,160,False,"(105, 120)",180,,Haliade-X 13MW,9.916
shakedown001_000008,shakedown001/task_0004,8,high,572.0,0.0,0.0,160,False,"(3, 10)",180,,SG11.0-200DD,10.16
shakedown001_000008,shakedown001/task_0004,8,high,924.0,0.0,0.0,160,False,"(60, 75)",210,,Haliade-X 13MW,11.352
shakedown001_000008,shakedown001/task_0004,8,high,715.0,0.0,0.0,160,False,"(30, 45)",240,,Haliade-X 13MW,11.49
shakedown001_000008,shakedown001/task_0004,8,high,715.0,0.0,0.0,160,False,"(30, 45)",240,,Haliade-X 13MW,11.82
shakedown001_000008,shakedown001/task_0004,8,high,132.0,0.0,0.0,160,False,"(3, 10)",330,,Haliade-X 13MW,12.909
shakedown001_000008,shakedown001/task_0004,8,high,924.0,0.0,0.0,160,False,"(30, 45)",150,,SG11.0-200DD,13.552
shakedown001_000008,shakedown001/task_0004,8,high,715.0,178.75,0.25,131,True,"(30, 45)",90,staircase_6corners,IEA 2200-22MW,14.068
