pd_level,metric,q10,q50,q90
low,n_new_farms,0.0,0.0,0.0
low,n_turbines_added,0.0,0.0,0.0
low,aep_gwh_Nygaard_TurboGaussian,2660.92,2850.58,3010.65
low,loss_pct_Nygaard_TurboGaussian,11.05,12.46,13.88
low,aep_gwh_SuperGaussian,2797.18,2998.98,3173.21
low,loss_pct_SuperGaussian,7.91,9.34,10.5
medium,n_new_farms,3.0,5.0,8.1
medium,n_turbines_added,89.8,233.5,403.6
medium,aep_gwh_Nygaard_TurboGaussian,2616.38,2824.46,2987.03
medium,loss_pct_Nygaard_TurboGaussian,11.52,13.26,14.83
medium,aep_gwh_SuperGaussian,2777.1,2976.55,3149.32
medium,loss_pct_SuperGaussian,8.5,9.87,11.41
high,n_new_farms,7.0,10.0,14.0
high,n_turbines_added,249.0,472.0,642.0
high,aep_gwh_Nygaard_TurboGaussian,2613.08,2802.86,2950.01
high,loss_pct_Nygaard_TurboGaussian,12.34,13.87,15.23
high,aep_gwh_SuperGaussian,2766.69,2966.14,3133.29
high,loss_pct_SuperGaussian,8.91,10.31,11.81
