eval,time_s,iter,obj,aep,x,y,rms_viol
1,4.263,0,167614.43,491.8295,799.1754;3134.6363;744.1890;3306.9993;1758.2803;2202.2779;2757.2683;1866.3048;1068.4818;675.7964;290.6686;2658.3851;1588.7132;569.9155;3167.7733;986.7113;1491.2461;1065.8878;2263.6365;2087.4161;2159.7451;956.9488;1024.8692;912.9175;1179.2302;518.9915;596.2063;3470.1499;3456.8162;678.2928;87.5036;736.4000;2519.4370;2806.2525;82.5591;2079.5863;5.9118;1855.7014;2303.2626;3548.2479;932.7513;2888.9888;3133.7391;3321.8986;7.9712;1690.1581;3533.2875;1436.2013;2929.4369;1967.2434;2775.0747;1745.7519;104.8016;311.4925;401.2337;904.4824;3473.6951;2274.3578;2939.9767;2037.8952;2287.2823;2922.8486;3336.0574;3285.4563;2969.3186;339.1298;1299.7743;127.8325;1966.8901;2866.1138;184.1141;679.2038;1315.7200;879.4471;2862.3149;1267.5418;2299.9597;1776.2942;2100.5991;3381.4777;3396.7443;402.0927;3036.7979;1245.7013;362.9782;1380.2726;1837.2773;3459.9711;1337.4454;44.5299;3094.9448;399.9987;1722.0206;3059.9281;1853.0567;1607.7882;2881.7151;73.4090;2061.4271;1480.9810,3546.4925;2885.0455;194.2636;685.7200;1628.7078;2530.5915;1195.3733;1295.9395;3317.2940;3433.0698;1467.6686;3234.8562;1188.9117;297.8588;1896.1832;2379.0398;3214.7435;3474.5672;2771.7576;2732.7568;2556.1766;2525.5902;2762.3930;3507.6581;1345.3723;298.9960;862.7056;797.3379;1308.9593;2917.1312;216.3462;1619.0768;2927.4139;951.2581;228.2435;871.5876;306.2537;2907.9988;612.9003;703.2407;2932.7112;2917.0279;2121.7460;3293.0436;215.3579;3473.9879;2055.5108;1089.0652;2972.5410;2373.9022;3551.4052;386.9623;2091.3067;1702.1814;2348.1748;870.6926;112.0682;1959.2365;1312.9566;3212.3998;1653.6441;1507.1548;2278.4599;1897.8438;3460.3601;2840.4364;1788.1038;760.1076;2174.3429;2694.8729;2721.1098;3576.6144;786.5920;1532.2944;1525.8586;1147.1272;1315.1989;1720.5887;1951.5255;954.8289;483.7094;1086.7900;491.3283;1143.7207;2445.0577;2164.8282;3590.0117;2019.2925;1975.4143;2312.4583;2616.4417;2216.9287;2118.6002;2178.0155;1277.2277;2798.5752;2176.5719;1113.2308;884.2716;256.5575,5.7696
2,7.618,1,64333.34,510.9944,,,3.5834
3,10.925,2,19432.29,519.5971,,,1.9877
4,14.154,3,4830.26,525.2101,,,1.0298
5,17.438,4,1305.45,528.9559,,,0.6027
6,20.700,5,-200.75,532.3977,,,0.2563
7,23.946,6,48.27,535.7615,,,0.3401
8,27.159,7,537.17,538.6189,,,0.4615
9,30.403,8,336.15,540.8434,,,0.4167
10,33.618,9,623.17,542.3970,,,0.4804
11,36.847,10,407.13,544.2643,,,0.4340
12,40.047,11,176.74,546.2162,,,0.3784
13,43.271,12,-468.20,548.0521,,,0.1258
14,46.449,13,126.50,549.7062,,,0.3659
15,49.648,14,1656.31,550.8282,,,0.6611
16,52.838,15,5703.06,551.2469,,,1.1129
17,56.027,16,6309.16,551.5924,,,1.1656
18,59.187,17,4037.79,552.0923,,,0.9534
19,62.365,18,1375.98,553.2913,,,0.6181
20,65.510,19,252.96,554.2892,,,0.3998
21,68.683,20,221.85,555.3488,,,0.3923
22,71.823,21,747.94,555.9640,,,0.5081
23,75.017,22,1950.43,556.0303,,,0.7045
24,78.253,23,5180.70,555.4224,,,1.0658
25,81.482,24,6338.83,554.5945,,,1.1683
26,84.716,25,1476.18,553.9666,,,0.6340
27,87.983,26,-252.22,555.3295,,,0.2450
28,91.184,27,227.68,557.2885,,,0.3943
29,94.450,28,1243.54,559.0200,,,0.5974
30,97.660,29,698.82,559.5301,,,0.4992
31,100.894,30,1066.49,559.6558,,,0.5675
32,104.154,31,1787.85,559.9982,,,0.6819
33,107.395,32,1332.72,560.5762,,,0.6123
