eval,time_s,iter,obj,aep,rms_viol,x,y
1,0.0,0,-491.1354351505536,491.1354351505536,5.063948592754131,2776.754;74.707;2281.134;2695.694;1794.625;809.268;713.026;2737.911;608.799;318.023;2467.295;3432.216;14.214;1843.892;2925.435;2205.094;2598.319;1050.754;3303.987;2572.473;1953.160;511.812;1344.027;2426.881;1590.599;1562.450;2223.961;1847.298;2341.430;2163.740;2898.804;1877.930;3271.136;1149.250;325.654;1082.520;410.344;2983.253;168.827;2254.634;1971.310;2949.433;716.211;3084.661;1265.950;2716.732;1065.462;3182.171;1171.842;594.057;1413.105;336.457;2955.980;544.147;1382.812;3399.339;3555.452;1642.696;2974.042;904.947;2150.538;3250.194;1924.409;2124.725;141.414;1285.854;286.607;1099.656;1190.590;2785.789;143.853;1546.172;1133.737;2291.368;1246.850;155.150;3167.695;2747.666;3161.148;1503.033;2180.079;1848.480;2152.212;943.976;1083.137;91.439;1091.025;871.473;2007.281;2035.825;1710.476;1054.073;231.304;3523.749;1222.948;1782.175;3517.491;1586.786;1145.782;1871.269,2081.291;3074.162;245.150;1672.311;2815.017;2586.970;2109.679;133.540;1262.363;2027.486;1079.028;1844.403;2424.481;573.097;181.720;1216.137;389.030;644.050;3188.978;1315.314;787.570;2708.986;384.767;2680.572;1691.227;2153.720;531.433;662.525;2322.260;175.061;895.005;1952.671;816.384;1373.082;3320.038;3331.285;2040.300;1920.495;53.496;3520.437;2062.904;2850.325;2021.606;3158.407;2103.105;2551.859;534.720;1542.423;2498.004;376.631;1582.579;598.328;1825.123;2948.529;324.384;2880.248;2034.455;2121.652;713.162;1570.026;1065.254;135.208;110.465;1631.178;2681.511;2006.263;1386.409;605.062;3017.741;2156.586;2817.773;3054.633;2171.387;2811.818;2216.653;76.195;2701.673;633.752;1650.651;1847.242;1742.475;3039.789;629.330;52.686;3055.551;2673.628;1644.111;1500.834;420.226;1219.245;340.773;2576.991;277.507;741.421;2065.594;1057.794;2360.616;2892.846;1264.369;336.385
6,8.64834451675415,5,-511.26676266857856,511.26676266857856,0.09606582017185779,2760.995;53.444;2301.341;2695.886;1858.350;791.608;654.615;2738.139;607.641;277.541;2527.434;3500.459;15.264;1853.704;2999.572;2193.784;2626.891;981.470;3384.317;2592.019;1976.456;433.465;1307.274;2506.252;1614.090;1544.200;2269.519;1825.026;2329.257;2150.384;2854.610;1857.046;3287.522;1133.397;315.194;1020.432;443.391;3033.842;224.955;2287.932;2019.095;2999.923;762.879;3050.954;1340.977;2704.422;1069.812;3221.195;1180.229;608.074;1389.958;284.904;2896.492;571.637;1424.016;3424.789;3529.970;1677.498;2965.651;938.090;2194.284;3327.590;1878.395;2079.134;209.577;1347.128;268.930;1168.597;1228.144;2843.130;159.416;1526.595;1082.411;2290.663;1251.860;92.853;3154.891;2754.049;3144.642;1478.151;2229.798;1868.094;2137.092;954.520;1039.921;21.388;1128.655;833.860;2028.292;2003.266;1682.671;1050.535;268.268;3601.708;1155.329;1751.111;3575.738;1556.568;1126.932;1869.530,2025.711;3071.531;253.393;1633.706;2828.166;2631.230;2152.847;143.666;1238.213;1972.341;1037.353;1773.580;2412.225;518.686;126.486;1293.980;327.741;704.102;3246.274;1363.371;827.063;2638.346;421.698;2696.970;1620.556;2202.441;498.331;707.463;2309.142;156.922;956.048;1942.447;789.609;1406.859;3390.412;3342.565;2079.624;1950.070;-4.722;3564.853;2084.725;2892.682;1974.122;3167.796;2094.139;2555.536;479.859;1503.552;2475.403;394.902;1602.925;580.002;1799.119;2961.502;271.336;2840.193;2098.208;2072.863;736.494;1616.830;1024.344;92.707;29.263;1606.909;2686.778;1938.885;1394.573;645.550;2962.954;2215.957;2841.204;3097.464;2200.643;2835.130;2263.825;137.520;2629.835;608.178;1683.387;1836.383;1747.497;3059.294;652.209;5.756;3108.056;2626.251;1616.486;1459.834;410.686;1160.100;365.671;2585.633;264.296;765.242;2018.340;1085.333;2428.098;2878.496;1217.787;301.906
11,17.188091278076172,10,-519.4797236535734,519.4797236535734,0.07703204496559748,2736.217;5.892;2372.792;2723.916;1876.864;790.071;649.241;2768.609;594.760;248.288;2513.952;3554.873;54.672;1856.244;3039.285;2224.601;2621.462;1001.323;3441.872;2595.124;1980.810;474.268;1337.463;2494.798;1643.443;1561.691;2320.335;1779.804;2296.326;2176.254;2846.838;1810.113;3289.603;1108.014;236.589;1011.451;437.702;3078.528;223.205;2256.557;2074.031;2945.196;757.128;3116.711;1342.022;2666.071;994.851;3168.793;1190.179;629.550;1396.264;294.257;2906.921;556.708;1371.267;3479.795;3555.927;1717.682;3012.450;934.297;2211.696;3393.288;1937.465;2067.325;187.136;1346.095;223.953;1188.073;1198.965;2854.322;149.220;1567.006;1043.687;2339.507;1250.360;66.722;3150.015;2766.080;3160.440;1493.611;2237.220;1879.831;2135.239;965.316;1061.095;4.670;1117.240;808.239;1969.781;2041.162;1636.406;1027.439;247.737;3604.827;1168.183;1762.146;3547.710;1567.975;1144.805;1858.051,2026.981;3075.902;209.388;1592.582;2790.876;2668.966;2166.166;140.052;1247.834;1963.306;1052.852;1778.064;2374.593;560.260;84.799;1294.084;297.603;774.136;3279.581;1378.087;828.024;2581.092;423.500;2708.924;1650.855;2254.324;484.085;757.650;2298.693;165.684;972.912;1923.403;823.169;1380.757;3461.495;3393.073;2058.066;1976.332;-2.109;3591.422;2120.644;2914.474;1941.923;3196.396;2121.944;2549.576;476.183;1474.890;2463.669;355.127;1583.319;622.702;1843.584;3011.215;206.843;2835.948;2104.491;2071.568;696.324;1582.663;975.559;40.834;0.541;1572.293;2685.825;1936.601;1393.916;579.650;2931.569;2250.973;2893.635;3157.149;2198.379;2910.470;2300.869;156.254;2677.431;588.673;1668.996;1802.768;1761.955;3084.829;684.153;6.358;3152.565;2618.934;1676.375;1465.284;392.819;1182.016;344.989;2608.265;272.651;776.937;2062.442;1090.656;2380.516;2864.028;1159.309;280.381
16,25.646705150604248,15,-523.8382533959,523.8382533959,0.24367633423319154,2699.690;31.553;2419.068;2733.640;1828.946;740.021;623.926;2835.575;523.405;201.885;2543.464;3594.690;32.600;1880.027;3097.934;2224.006;2634.435;953.570;3492.875;2603.059;1945.455;503.199;1278.436;2475.913;1677.998;1617.234;2359.346;1758.854;2292.468;2176.989;2920.872;1797.808;3311.680;1104.698;210.580;990.801;413.876;3065.910;233.557;2221.540;2094.724;2891.309;727.231;3047.085;1323.729;2674.343;991.188;3208.772;1150.744;651.848;1416.317;268.144;2967.536;546.728;1350.220;3537.442;3590.043;1731.339;3018.274;936.846;2207.541;3457.191;1918.636;2123.125;173.007;1378.264;165.016;1221.635;1175.617;2808.023;119.317;1554.192;1058.141;2393.135;1275.722;-8.643;3224.920;2739.365;3131.408;1536.056;2220.718;1948.772;2125.060;940.447;1105.504;3.855;1071.088;803.354;1989.559;2049.571;1608.292;1059.916;298.069;3604.923;1154.881;1701.930;3576.595;1590.033;1139.758;1846.806,1988.134;3144.388;145.668;1598.162;2838.592;2648.273;2193.464;177.224;1200.896;1947.970;1010.635;1770.361;2337.718;568.282;21.338;1230.761;304.945;754.465;3276.100;1363.554;801.780;2612.621;419.242;2699.434;1619.163;2316.328;510.560;791.821;2287.525;161.590;1025.118;1918.990;784.876;1332.751;3537.975;3463.625;2034.707;2034.762;11.343;3611.123;2144.963;2890.787;1957.535;3240.274;2103.057;2513.726;424.365;1476.296;2462.788;344.534;1591.265;644.403;1810.818;2984.805;145.977;2883.510;2104.123;2127.173;648.324;1604.755;972.453;46.351;1.568;1552.546;2671.149;1896.066;1434.066;606.344;2931.749;2288.992;2933.221;3230.487;2190.442;2942.710;2311.126;144.745;2698.147;610.551;1658.648;1750.616;1795.235;3108.869;689.444;-8.786;3194.033;2622.764;1715.120;1454.401;406.209;1203.218;390.020;2682.939;282.991;825.878;2019.671;1089.613;2406.708;2800.441;1172.036;263.599
21,34.20877957344055,20,-529.1399740307816,529.1399740307816,0.4130088334406618,2725.237;-21.671;2475.671;2753.920;1869.899;752.741;592.453;2878.892;505.522;152.370;2530.459;3567.549;16.657;1868.161;3071.631;2214.213;2653.956;968.484;3541.721;2601.082;1939.760;516.306;1291.539;2492.715;1671.796;1631.420;2376.235;1730.083;2266.424;2149.740;2958.980;1840.195;3318.548;1151.133;183.370;953.872;418.544;3077.625;265.229;2231.417;2155.143;2923.148;705.804;3000.369;1306.781;2670.393;934.313;3226.241;1150.740;671.275;1382.161;222.086;2983.966;588.767;1373.394;3527.150;3605.454;1728.862;3002.863;935.146;2206.528;3533.811;1945.293;2161.360;183.519;1422.324;120.481;1179.091;1105.863;2768.686;85.665;1599.812;1123.964;2376.504;1250.519;-12.869;3278.030;2723.700;3124.422;1543.041;2208.007;1912.579;2147.726;895.947;1119.060;-5.268;1055.868;760.520;1987.842;2073.609;1629.663;1070.128;289.120;3596.122;1080.337;1630.825;3595.249;1631.852;1100.949;1811.180,1990.063;3150.255;91.668;1580.890;2853.520;2719.802;2209.428;162.284;1160.217;1936.986;1046.511;1794.453;2347.407;588.799;-3.166;1279.720;324.821;794.568;3271.014;1395.610;838.147;2634.456;400.180;2724.771;1592.333;2307.129;495.590;775.802;2318.099;136.864;1011.111;1939.698;758.077;1326.639;3603.110;3489.140;2018.739;2079.814;2.477;3588.722;2130.949;2920.610;1955.618;3288.139;2086.612;2514.790;405.574;1447.829;2498.595;333.398;1543.849;628.091;1835.127;2992.107;119.572;2945.696;2085.934;2152.681;664.975;1584.425;940.301;9.822;-12.205;1533.121;2690.030;1915.833;1446.806;576.718;2978.637;2290.785;2994.390;3240.209;2204.995;2964.676;2348.314;165.800;2658.543;609.726;1633.375;1737.233;1810.018;3166.799;668.516;11.866;3258.556;2612.088;1762.038;1440.156;392.286;1167.517;409.822;2654.763;274.328;865.026;2003.129;1059.732;2435.257;2798.845;1130.887;245.577
26,42.76828598976135,25,-533.4444465399566,533.4444465399566,0.39567485003619257,2741.997;-15.990;2536.115;2773.965;1941.171;753.389;567.947;2891.010;482.586;112.059;2497.764;3606.583;34.949;1861.503;3099.766;2225.388;2665.361;949.267;3547.565;2588.905;1997.569;475.051;1242.392;2522.096;1737.035;1664.701;2356.985;1738.107;2186.908;2157.296;2976.208;1811.764;3348.823;1108.479;139.339;990.946;375.127;3120.582;313.157;2270.335;2227.434;2872.372;680.783;2992.796;1326.630;2638.220;888.524;3239.873;1143.566;619.918;1367.264;184.546;2998.614;587.808;1370.154;3588.510;3589.681;1730.860;3045.899;893.088;2222.840;3612.773;1915.723;2233.853;187.995;1418.094;66.580;1196.525;1137.577;2749.956;40.849;1585.776;1095.375;2435.109;1238.473;1.535;3295.961;2709.198;3124.740;1512.959;2193.353;1893.786;2137.686;925.747;1076.674;-14.644;1044.410;731.183;1942.741;2076.898;1569.017;1110.874;254.696;3571.088;1079.001;1645.153;3594.964;1623.739;1132.411;1841.770,2007.363;3224.407;31.957;1603.666;2860.938;2697.259;2216.839;148.082;1160.292;1922.654;1025.317;1783.396;2385.839;564.441;5.457;1288.101;321.478;785.075;3272.609;1407.798;857.977;2645.680;365.304;2778.418;1567.854;2377.827;508.319;791.573;2376.380;97.367;1075.679;1955.935;742.848;1280.966;3594.926;3542.856;2038.896;2155.146;-2.588;3590.594;2115.018;2924.104;1965.785;3327.363;2102.545;2517.240;444.926;1411.229;2541.675;376.250;1539.651;669.593;1879.510;3071.658;126.030;3005.994;2118.663;2156.068;673.371;1622.928;952.337;39.539;-3.514;1525.747;2693.272;1892.428;1427.217;561.563;2975.002;2269.525;2996.060;3261.188;2211.656;3009.530;2351.506;143.798;2653.798;575.350;1628.397;1703.250;1805.181;3158.611;654.944;-9.738;3295.078;2584.273;1761.256;1431.326;427.093;1193.374;348.243;2726.964;263.001;862.335;2031.519;1079.505;2455.717;2789.447;1115.182;201.970
31,51.19296383857727,30,-535.4565120725861,535.4565120725861,0.297348724724583,2704.059;40.231;2559.533;2787.498;1970.501;732.184;578.595;2907.149;474.315;63.931;2523.717;3578.404;3.617;1862.413;3120.003;2251.859;2654.748;959.127;3596.985;2561.533;2018.529;437.731;1253.707;2555.863;1773.694;1703.264;2404.223;1750.789;2176.403;2155.164;3048.872;1814.925;3299.057;1033.425;95.955;992.302;360.174;3169.814;370.392;2256.655;2251.472;2898.576;689.986;2961.617;1326.207;2642.752;885.543;3226.161;1145.752;576.801;1382.718;107.118;2998.791;574.113;1368.654;3577.780;3614.055;1749.944;3069.002;840.028;2191.309;3595.305;1909.944;2206.247;203.549;1419.504;16.804;1135.826;1082.873;2767.576;7.168;1531.498;1102.131;2423.583;1204.755;-4.904;3262.152;2724.974;3120.260;1500.025;2251.287;1862.497;2109.357;882.979;1096.712;-4.589;1084.481;740.503;1967.923;2065.908;1506.030;1157.889;266.444;3603.064;1062.025;1639.132;3609.879;1595.939;1135.560;1814.056,2006.768;3228.230;-6.217;1594.114;2932.759;2730.778;2252.059;153.847;1132.692;1906.515;1072.971;1795.004;2336.897;571.464;8.216;1316.919;282.519;761.681;3284.161;1443.222;816.580;2566.490;365.924;2765.792;1625.050;2400.592;472.727;820.407;2359.176;49.716;1090.863;2022.939;806.667;1312.749;3590.975;3602.593;2073.296;2192.810;-7.177;3587.398;2143.966;2942.179;1955.137;3352.357;2133.869;2547.323;415.604;1407.638;2544.869;412.768;1470.723;666.083;1908.914;3073.500;67.902;3000.648;2114.948;2170.589;619.550;1630.336;931.691;21.508;12.886;1562.132;2740.729;1902.419;1420.573;600.744;2962.594;2312.953;3015.986;3260.836;2149.733;3076.799;2372.840;118.660;2608.861;627.947;1614.844;1720.827;1800.921;3168.557;678.383;13.075;3339.250;2580.234;1741.559;1407.399;395.620;1221.619;363.018;2742.027;242.778;814.980;1971.741;1031.873;2527.011;2730.991;1112.646;173.629
36,59.74247217178345,35,-536.9055654670236,536.9055654670236,0.4594267889389433,2634.282;60.504;2539.691;2833.414;1968.108;682.348;585.628;2886.768;453.403;54.236;2514.214;3538.422;-12.858;1852.547;3177.903;2285.305;2657.464;938.452;3601.372;2574.479;2016.616;466.706;1223.255;2566.876;1771.174;1683.382;2411.934;1784.361;2178.875;2163.420;3045.476;1828.198;3310.511;1016.581;122.894;981.126;350.211;3211.681;330.533;2273.970;2268.921;2906.559;669.426;2987.982;1305.820;2702.348;868.924;3249.728;1127.959;592.105;1365.187;104.225;3021.917;585.879;1321.496;3549.822;3600.312;1767.682;3104.588;809.159;2237.568;3614.440;1884.711;2211.989;192.912;1437.604;-9.762;1122.240;1104.559;2797.439;19.939;1537.225;1139.498;2445.990;1232.149;-15.473;3287.599;2785.995;3144.101;1510.986;2221.094;1863.187;2087.143;852.816;1056.319;-16.283;1110.628;696.827;1944.336;2088.579;1509.550;1172.443;244.088;3600.620;1016.092;1665.319;3598.601;1614.367;1108.559;1821.925,2062.437;3267.291;9.083;1557.068;2910.088;2764.730;2265.158;107.010;1134.259;1856.517;1064.045;1774.607;2283.619;582.470;30.246;1338.395;334.329;820.861;3348.575;1440.903;875.924;2572.678;309.020;2822.813;1590.133;2393.441;461.263;778.956;2354.867;36.306;1079.113;2019.897;765.949;1335.271;3596.708;3586.113;2095.502;2230.040;9.135;3596.082;2159.433;2949.726;1944.454;3348.724;2144.922;2545.676;461.283;1366.927;2553.870;371.504;1447.924;642.529;1915.525;3063.044;8.311;3026.825;2080.776;2213.811;624.248;1626.490;863.054;-7.692;-5.540;1556.168;2690.865;1949.948;1366.650;584.544;2967.670;2313.200;3050.270;3318.941;2134.927;3076.421;2358.640;54.735;2596.429;609.176;1652.092;1719.253;1832.352;3184.150;656.615;8.278;3358.098;2609.627;1737.438;1430.664;363.736;1182.819;400.577;2753.912;274.109;861.309;1962.164;1064.622;2549.602;2796.289;1098.377;185.574
41,68.1966814994812,40,-540.6470791186019,540.6470791186019,0.31383972988046127,2650.493;25.236;2546.876;2823.626;1941.091;703.682;559.566;2933.200;424.422;11.646;2555.521;3596.514;2.427;1836.648;3206.535;2291.558;2701.727;955.730;3596.077;2546.049;2062.678;465.985;1184.344;2589.173;1832.453;1714.862;2388.057;1740.671;2183.998;2215.699;3050.616;1843.547;3344.755;980.637;67.235;961.298;357.946;3258.121;364.671;2278.414;2235.159;2944.704;651.018;2948.619;1338.121;2680.801;844.698;3270.239;1165.860;584.718;1370.134;43.037;3004.651;567.350;1296.837;3605.196;3598.697;1758.616;3134.981;842.783;2278.212;3595.569;1863.949;2266.074;166.202;1424.401;2.125;1104.680;1106.229;2813.971;34.475;1557.299;1112.009;2475.999;1233.431;-1.548;3251.916;2791.648;3150.071;1513.310;2246.415;1834.316;2049.901;834.605;1073.783;-14.125;1102.676;635.853;1922.396;2094.351;1490.894;1133.619;236.854;3591.394;1019.145;1681.742;3591.366;1639.210;1108.778;1854.111,2056.884;3330.509;18.951;1553.396;2938.372;2768.294;2253.617;39.938;1110.573;1861.925;1055.061;1764.784;2276.084;539.243;31.273;1311.684;329.201;848.908;3378.731;1434.439;918.344;2553.338;260.579;2807.760;1615.511;2412.930;483.300;787.091;2394.488;34.843;1053.269;2039.548;731.828;1288.687;3593.828;3605.411;2138.033;2262.277;12.028;3606.969;2179.959;2990.100;1969.994;3396.485;2173.267;2550.479;513.320;1345.323;2552.555;357.870;1435.416;616.541;1897.637;3047.527;-10.784;3019.330;2071.400;2208.949;599.387;1603.077;803.401;-8.623;1.389;1598.601;2716.221;1921.995;1343.807;592.890;2999.774;2311.728;3084.642;3352.776;2128.589;3108.714;2385.757;38.520;2584.229;607.001;1645.692;1701.850;1886.603;3174.480;669.316;21.237;3379.217;2591.445;1733.300;1467.733;357.200;1203.634;393.875;2752.779;244.925;871.202;1955.564;1036.687;2558.964;2777.108;1088.778;173.485
46,76.7155032157898,45,-541.5473453314593,541.5473453314593,0.25748426230046695,2621.284;34.553;2517.963;2841.645;1920.017;732.345;561.620;2889.516;385.826;7.062;2572.796;3585.649;6.328;1790.778;3218.917;2309.426;2738.319;942.102;3589.832;2561.541;2047.025;392.065;1159.504;2560.147;1872.216;1695.588;2444.959;1780.250;2168.808;2183.008;3118.154;1850.014;3398.408;978.235;24.386;947.576;318.449;3281.957;365.951;2250.161;2290.242;3011.695;596.943;2968.303;1296.325;2690.747;772.285;3343.772;1140.533;653.512;1378.620;10.376;2997.885;561.845;1321.275;3590.409;3592.815;1781.313;3128.386;819.236;2269.109;3595.052;1896.455;2308.514;172.487;1407.884;9.402;1136.267;1099.063;2826.769;9.978;1626.432;1041.505;2419.549;1255.476;1.270;3275.399;2787.046;3161.335;1532.167;2262.232;1799.504;2074.886;820.242;1096.794;-8.958;1078.960;622.896;1921.903;2064.756;1480.468;1112.247;233.723;3592.666;1055.646;1656.790;3608.628;1711.334;1111.199;1810.231,2064.974;3318.020;5.191;1539.006;2994.239;2768.189;2314.530;40.300;1068.971;1840.211;1021.124;1750.847;2288.183;563.177;-6.280;1319.663;252.867;854.823;3421.293;1425.861;984.345;2519.418;286.251;2835.340;1597.661;2383.245;527.032;782.918;2382.289;23.674;1026.070;2013.452;682.638;1238.130;3592.680;3593.546;2110.666;2284.057;12.036;3582.120;2164.619;2975.569;2007.923;3424.943;2169.515;2590.702;538.117;1336.333;2559.319;323.906;1444.712;596.232;1910.501;3065.435;8.621;3004.547;2065.646;2207.118;633.809;1576.009;759.718;15.175;-11.861;1613.540;2772.235;1921.326;1332.182;629.678;3048.094;2319.755;3056.508;3352.136;2175.931;3130.594;2379.083;4.544;2621.329;624.738;1635.277;1708.000;1903.625;3155.667;621.531;6.080;3367.334;2563.126;1682.851;1517.048;370.860;1191.531;366.572;2773.653;202.922;882.228;1939.254;1031.865;2569.419;2758.437;1033.784;168.188
