Iteration:       1
Power absorbed by obstacle   1 =  1.09562312E+05 W
Power absorbed by obstacle   2 =  1.03623273E+05 W
Power absorbed by obstacle   3 =  1.00455359E+05 W
Power absorbed by obstacle   4 =  9.85118438E+04 W
Power absorbed by obstacle   5 =  9.71613984E+04 W
Power absorbed by obstacle   6 =  1.09562312E+05 W
Power absorbed by obstacle   7 =  1.03623266E+05 W
Power absorbed by obstacle   8 =  1.00456180E+05 W
Power absorbed by obstacle   9 =  9.85106719E+04 W
Power absorbed by obstacle  10 =  9.70940000E+04 W
Power absorbed by obstacle  11 =  1.09562312E+05 W
Power absorbed by obstacle  12 =  1.03623273E+05 W
Power absorbed by obstacle  13 =  1.00455414E+05 W
Power absorbed by obstacle  14 =  9.85110469E+04 W
Power absorbed by obstacle  15 =  9.71591719E+04 W
Iteration:       2
Power absorbed by obstacle   1 =  1.07887141E+05 W
Power absorbed by obstacle   2 =  1.02049133E+05 W
Power absorbed by obstacle   3 =  9.89281641E+04 W
Power absorbed by obstacle   4 =  9.70102891E+04 W
Power absorbed by obstacle   5 =  9.56753281E+04 W
Power absorbed by obstacle   6 =  1.07887141E+05 W
Power absorbed by obstacle   7 =  1.02049117E+05 W
Power absorbed by obstacle   8 =  9.89288281E+04 W
Power absorbed by obstacle   9 =  9.70102109E+04 W
Power absorbed by obstacle  10 =  9.56101875E+04 W
Power absorbed by obstacle  11 =  1.07887141E+05 W
Power absorbed by obstacle  12 =  1.02049102E+05 W
Power absorbed by obstacle  13 =  9.89280938E+04 W
Power absorbed by obstacle  14 =  9.70101016E+04 W
Power absorbed by obstacle  15 =  9.56739922E+04 W
Iteration:       3
Power absorbed by obstacle   1 =  1.07884930E+05 W
Power absorbed by obstacle   2 =  1.02086359E+05 W
Power absorbed by obstacle   3 =  9.89830000E+04 W
Power absorbed by obstacle   4 =  9.70738750E+04 W
Power absorbed by obstacle   5 =  9.57433359E+04 W
Power absorbed by obstacle   6 =  1.07884930E+05 W
Power absorbed by obstacle   7 =  1.02086359E+05 W
Power absorbed by obstacle   8 =  9.89836406E+04 W
Power absorbed by obstacle   9 =  9.70736406E+04 W
Power absorbed by obstacle  10 =  9.56787422E+04 W
Power absorbed by obstacle  11 =  1.07884930E+05 W
Power absorbed by obstacle  12 =  1.02086367E+05 W
Power absorbed by obstacle  13 =  9.89829141E+04 W
Power absorbed by obstacle  14 =  9.70735312E+04 W
Power absorbed by obstacle  15 =  9.57425000E+04 W
Iteration:       4
Power absorbed by obstacle   1 =  1.07884930E+05 W
Power absorbed by obstacle   2 =  1.02086391E+05 W
Power absorbed by obstacle   3 =  9.89822109E+04 W
Power absorbed by obstacle   4 =  9.70722656E+04 W
Power absorbed by obstacle   5 =  9.57411562E+04 W
Power absorbed by obstacle   6 =  1.07884930E+05 W
Power absorbed by obstacle   7 =  1.02086398E+05 W
Power absorbed by obstacle   8 =  9.89828359E+04 W
Power absorbed by obstacle   9 =  9.70721094E+04 W
Power absorbed by obstacle  10 =  9.56766016E+04 W
Power absorbed by obstacle  11 =  1.07884930E+05 W
Power absorbed by obstacle  12 =  1.02086398E+05 W
Power absorbed by obstacle  13 =  9.89820781E+04 W
Power absorbed by obstacle  14 =  9.70719531E+04 W
Power absorbed by obstacle  15 =  9.57403828E+04 W
